category,dep,all,all be,all ru,all%,all be%,all ru%,dep uniq,uniq,uniq be,uniq ru,uniq%,uniq be%,uniq ru%
addr:region,122170,122170,122170,122170,1.000,1.000,1.000,7,7,7,7,1.000,1.000,1.000
addr:district,120881,120881,120881,120881,1.000,1.000,1.000,126,126,126,126,1.000,1.000,1.000
addr:subdistrict,25539,25533,25533,25533,1.000,1.000,1.000,751,750,750,748,0.999,0.999,0.996
addr:city,133202,133167,133152,133148,1.000,1.000,1.000,2366,2358,2357,2350,0.997,0.996,0.993
addr:place,38780,38723,38723,38723,0.999,0.999,0.999,1331,1287,1287,1281,0.967,0.967,0.962
addr:street,934161,933739,933712,933305,1.000,1.000,0.999,9964,9790,9777,9941,0.983,0.981,0.998
addr2:street,628,628,628,628,1.000,1.000,1.000,239,239,239,239,1.000,1.000,1.000
from,3454,2970,2970,2969,0.860,0.860,0.860,486,373,373,378,0.767,0.767,0.778
to,3357,2980,2980,2976,0.888,0.888,0.887,520,395,395,400,0.760,0.760,0.769
via,1874,1796,1796,1795,0.958,0.958,0.958,80,67,67,68,0.838,0.838,0.850
destination,5012,4627,4621,4603,0.923,0.922,0.918,740,610,604,605,0.824,0.816,0.818
destination:backward,531,491,491,491,0.925,0.925,0.925,141,122,122,122,0.865,0.865,0.865
destination:forward,546,520,520,520,0.952,0.952,0.952,121,109,109,109,0.901,0.901,0.901
water_tank:city,1,1,1,1,1.000,1.000,1.000,1,1,1,1,1.000,1.000,1.000
