lvl,category,be=ru,be+ru,be,ru+be,ru,other both,other be,other ru,no lang,be=ru%,be+ru%,be%,ru+be%,ru%,other both%,other be%,other ru%,no lang%
#,admin,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
,admin_level = 2,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
,admin_level = 4,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,admin_level = 6,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,admin_level = 8,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,admin_level = 9,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,::label = *,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
#,place,0,0,0,9,0,1,0,0,32,0.000,0.000,0.000,0.214,0.000,0.024,0.000,0.000,0.762
,place = city,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,place = town,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,place = village,0,0,0,6,0,0,0,0,6,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.500
,place = hamlet,0,0,0,2,0,0,0,0,15,0.000,0.000,0.000,0.118,0.000,0.000,0.000,0.000,0.882
,place = isolated_dwelling,0,0,0,0,0,0,0,0,11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,boundary = administrative,0,0,0,5,0,1,0,0,16,0.000,0.000,0.000,0.227,0.000,0.045,0.000,0.000,0.727
,traffic_sign = city_limit,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,admin_level = *,0,0,0,5,0,0,0,0,16,0.000,0.000,0.000,0.238,0.000,0.000,0.000,0.000,0.762
#,allotments,0,3357,0,0,5,4,0,1,1,0.000,0.997,0.000,0.000,0.001,0.001,0.000,0.000,0.000
,place = allotments,0,3336,0,0,4,4,0,0,0,0.000,0.998,0.000,0.000,0.001,0.001,0.000,0.000,0.000
,landuse = allotments,0,3202,0,0,3,3,0,1,1,0.000,0.998,0.000,0.000,0.001,0.001,0.000,0.000,0.000
,allotments = *,0,36,0,0,0,0,0,0,0,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
#,locality,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,place = locality,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,abandoned:place = *,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
#,suburb,0,24,1,6,0,1,0,0,66,0.000,0.245,0.010,0.061,0.000,0.010,0.000,0.000,0.673
,landuse = cemetery,0,0,0,0,0,0,0,0,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
