lvl,category,be=ru,be+ru,be,ru+be,ru,other both,other be,other ru,no lang,be=ru%,be+ru%,be%,ru+be%,ru%,other both%,other be%,other ru%,no lang%
#,admin,55,3,0,1567,0,0,0,0,0,0.034,0.002,0.000,0.964,0.000,0.000,0.000,0.000,0.000
,admin_level = 2,1,2,0,1,0,0,0,0,0,0.250,0.500,0.000,0.250,0.000,0.000,0.000,0.000,0.000
,admin_level = 4,17,1,0,48,0,0,0,0,0,0.258,0.015,0.000,0.727,0.000,0.000,0.000,0.000,0.000
,admin_level = 6,19,0,0,194,0,0,0,0,0,0.089,0.000,0.000,0.911,0.000,0.000,0.000,0.000,0.000
,admin_level = 8,18,0,0,1298,0,0,0,0,0,0.014,0.000,0.000,0.986,0.000,0.000,0.000,0.000,0.000
,admin_level = 9,0,0,0,26,0,0,0,0,0,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
#,place,4067,202,0,44504,2,1,0,0,10,0.083,0.004,0.000,0.912,0.000,0.000,0.000,0.000,0.000
,place = city,4,0,0,27,0,0,0,0,0,0.129,0.000,0.000,0.871,0.000,0.000,0.000,0.000,0.000
,place = town,32,1,0,282,0,0,0,0,0,0.102,0.003,0.000,0.895,0.000,0.000,0.000,0.000,0.000
,place = village,480,0,0,4463,0,0,0,0,1,0.097,0.000,0.000,0.903,0.000,0.000,0.000,0.000,0.000
,place = hamlet,3244,6,0,35308,0,1,0,0,0,0.084,0.000,0.000,0.916,0.000,0.000,0.000,0.000,0.000
,place = isolated_dwelling,95,1,0,1197,2,0,0,0,0,0.073,0.001,0.000,0.924,0.002,0.000,0.000,0.000,0.000
,boundary = administrative,1972,4,0,22124,0,0,0,0,1,0.082,0.000,0.000,0.918,0.000,0.000,0.000,0.000,0.000
,traffic_sign = city_limit,165,191,0,1695,0,0,0,0,8,0.080,0.093,0.000,0.823,0.000,0.000,0.000,0.000,0.004
,admin_level = *,1917,1,0,20556,0,0,0,0,0,0.085,0.000,0.000,0.915,0.000,0.000,0.000,0.000,0.000
#,allotments,386,3,0,2439,63,5,2,1,35,0.132,0.001,0.000,0.831,0.021,0.002,0.001,0.000,0.012
,place = allotments,268,3,0,1556,4,0,0,0,1,0.146,0.002,0.000,0.849,0.002,0.000,0.000,0.000,0.001
,landuse = allotments,355,2,0,2297,59,5,2,1,35,0.129,0.001,0.000,0.833,0.021,0.002,0.001,0.000,0.013
#,locality,1225,18,3,10676,48,3,1,0,12,0.102,0.002,0.000,0.891,0.004,0.000,0.000,0.000,0.001
