lvl,category,be=ru,be+ru,be,ru+be,ru,other both,other be,other ru,no lang,be=ru%,be+ru%,be%,ru+be%,ru%,other both%,other be%,other ru%,no lang%
#,admin,0,0,1,0,0,0,0,0,1,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.500
,admin_level = 2,0,0,1,0,0,0,0,0,0,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
,admin_level = 4,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,admin_level = 6,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,admin_level = 8,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,admin_level = 9,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,::label = *,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
#,place,0,0,1,0,0,0,0,0,25,0.000,0.000,0.038,0.000,0.000,0.000,0.000,0.000,0.962
,place = city,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,place = town,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,place = village,0,0,0,0,0,0,0,0,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,place = hamlet,0,0,0,0,0,0,0,0,11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,place = isolated_dwelling,0,0,0,0,0,0,0,0,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,boundary = administrative,0,0,1,0,0,0,0,0,3,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.750
,traffic_sign = city_limit,0,0,0,0,0,0,0,0,9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,admin_level = *,0,0,0,0,0,0,0,0,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
#,allotments,0,0,0,0,1,0,0,0,11,0.000,0.000,0.000,0.000,0.083,0.000,0.000,0.000,0.917
,place = allotments,0,0,0,0,0,0,0,0,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,landuse = allotments,0,0,0,0,1,0,0,0,8,0.000,0.000,0.000,0.000,0.111,0.000,0.000,0.000,0.889
,allotments = *,0,0,0,0,0,0,0,0,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
#,locality,0,0,0,0,0,0,0,0,31,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,place = locality,0,0,0,0,0,0,0,0,31,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,abandoned:place = *,0,0,0,0,0,0,0,0,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
#,suburb,0,3,0,11,7,1,7,0,207,0.000,0.013,0.000,0.047,0.030,0.004,0.030,0.000,0.877
,landuse = cemetery,0,1,0,6,4,0,4,0,27,0.000,0.024,0.000,0.143,0.095,0.000,0.095,0.000,0.643
,landuse = commercial,0,0,0,0,0,0,0,0,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,landuse = construction,0,0,0,1,0,0,0,0,9,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.900
,landuse = farmland,0,0,0,0,0,0,0,0,7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,landuse = farmyard,0,0,0,0,0,0,1,0,15,0.000,0.000,0.000,0.000,0.000,0.000,0.062,0.000,0.938
,landuse = residential,0,0,0,0,0,0,0,0,14,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,landuse = retail,0,0,0,0,0,0,0,0,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,leisure = park,0,2,0,1,2,0,2,0,66,0.000,0.027,0.000,0.014,0.027,0.000,0.027,0.000,0.904
,leisure = garden,0,0,0,0,0,0,0,0,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,amenity = marketplace,0,0,0,0,0,0,0,0,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,place = *,0,0,0,0,0,0,0,0,14,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,residential = *,0,0,0,0,0,0,0,0,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,landuse = *,0,0,0,3,1,1,0,0,45,0.000,0.000,0.000,0.060,0.020,0.020,0.000,0.000,0.900
#,natural,0,497,0,1,3,1,0,1,1665,0.000,0.229,0.000,0.000,0.001,0.000,0.000,0.000,0.768
,place = island,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,place = islet,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,landuse = forest,0,0,0,0,0,0,0,0,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,leisure = nature_reserve,0,0,0,0,0,0,0,0,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,boundary = *,0,496,0,0,0,0,0,1,18,0.000,0.963,0.000,0.000,0.000,0.000,0.000,0.002,0.035
,natural = *,0,1,0,1,3,1,0,0,1632,0.000,0.001,0.000,0.001,0.002,0.001,0.000,0.000,0.996
,ele = *,0,1,0,1,2,0,0,0,16,0.000,0.050,0.000,0.050,0.100,0.000,0.000,0.000,0.800
#,water,0,61,0,0,0,0,0,0,175,0.000,0.258,0.000,0.000,0.000,0.000,0.000,0.000,0.742
,waterway = drain,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,waterway = ditch,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,waterway = stream,0,0,0,0,0,0,0,0,17,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,waterway = river,0,0,0,0,0,0,0,0,34,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,waterway = canal,0,0,0,0,0,0,0,0,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,type = waterway,0,0,0,0,0,0,0,0,21,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,type = watershed,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,natural = water,0,1,0,0,0,0,0,0,99,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.990
,natural = spring,0,0,0,0,0,0,0,0,14,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,tunnel = *,0,60,0,0,0,0,0,0,10,0.000,0.857,0.000,0.000,0.000,0.000,0.000,0.000,0.143
,waterway = *,0,0,0,0,0,0,0,0,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,water = *,0,1,0,0,0,0,0,0,94,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.989
#,highway,11,1134,6,0,0,8,0,2,192,0.008,0.838,0.004,0.000,0.000,0.006,0.000,0.001,0.142
