osm_type,osm_id,name,name:be,name:ru
node,4401650891,Барановичский ГОВД,,Барановичский ГОВД
way,230620413,Барановичский РОВД,,Барановичский РОВД
node,4426224989,Волковысский отдел департамента охраны,,Волковысский отдел департамента охраны
way,155255772,"ГАИ, паспортный стол",,"ГАИ, паспортный стол"
node,305681587,ГОМ №1 Ленинского РУВД г. Минска,,ГОМ №1 Ленинского РУВД г. Минска
way,136505294,ГРОВД,,ГРОВД
node,4574885194,ГУК МВД РБ,,ГУК МВД РБ
way,169557155,Дятловский районный отдел следственного комитета,,Дятловский районный отдел следственного комитета
way,151519489,Ждановичский отдел милиции,,Ждановичский отдел милиции
node,4690954412,Изолятор временного содержания,,Изолятор временного содержания
node,5178493421,Изолятор временного содержания,,Изолятор временного содержания
way,217282190,Исправительное учреждение открытого типа №45,,Исправительное учреждение открытого типа №45
node,3946896061,Лельчицкий РОВД,,Лельчицкий РОВД
way,86758977,Ленинский РОВД,,Ленинский РОВД
node,4325994089,Лиозненский районный отдел Следственного комитета,,Лиозненский районный отдел Следственного комитета
node,1327362350,МРЭО,,МРЭО
node,4370909629,МРЭО,,МРЭО
node,4062350014,Милиция общественной безопасности,,Милиция общественной безопасности
way,25318397,Минское РУВД,,Минское РУВД
node,7974821985,Мядельский районный отдел Государственного комитета судебных экспертиз,,Мядельский районный отдел Государственного комитета судебных экспертиз
way,27898934,ОВД Первомайского района,,ОВД Первомайского района
node,5030095926,ОГиМ,,ОГиМ
node,6837695337,ОПОП Сиротинского сельсовета,,ОПОП Сиротинского сельсовета
node,5113136924,ОПОП №2 Участковые 4 микрорайона,,ОПОП №2 Участковые 4 микрорайона
node,1244183056,ОПОП №37,,ОПОП №37
node,305686130,ОПОП-12,,ОПОП-12
node,305676058,ОПОП-123,,ОПОП-123
node,305681594,ОПОП-129,,ОПОП-129
node,305685873,ОПОП-13,,ОПОП-13
node,305680795,ОПОП-21,,ОПОП-21
node,305680911,ОПОП-22,,ОПОП-22
node,305683149,ОПОП-23,,ОПОП-23
node,305684480,ОПОП-29,,ОПОП-29
node,305679518,ОПОП-38,,ОПОП-38
node,305686256,ОПОП-4,,ОПОП-4
node,305676136,ОПОП-40,,ОПОП-40
node,305678218,ОПОП-41,,ОПОП-41
node,305680784,ОПОП-51,,ОПОП-51
node,305684414,ОПОП-69,,ОПОП-69
node,305687204,ОПОП-71,,ОПОП-71
node,305684816,ОПОП-82,,ОПОП-82
node,305685747,ОПОП-84,,ОПОП-84
node,305683535,ОПОП-92,,ОПОП-92
node,2562499281,Общественный пункт охраны порядка № 11,,Общественный пункт охраны порядка № 11
node,4056598889,Общественный пункт охраны порядка № 15,,Общественный пункт охраны порядка № 15
node,2827441956,Общественный пункт охраны порядка № 1,,Общественный пункт охраны порядка № 1
node,1561249575,Общественный пункт охраны порядка № 2,,Общественный пункт охраны порядка № 2
node,2827441957,Общественный пункт охраны порядка № 3,,Общественный пункт охраны порядка № 3
node,2827441958,Общественный пункт охраны порядка № 4,,Общественный пункт охраны порядка № 4
node,4059796040,Общественный пункт охраны порядка № 5,,Общественный пункт охраны порядка № 5
way,86766557,Октябрьский РОВД,,Октябрьский РОВД
node,305685052,Опоп-1,,Опоп-1
node,305685372,Опоп-10,,Опоп-10
node,305684934,Опоп-100,,Опоп-100
node,305684937,Опоп-102,,Опоп-102
node,305685904,Опоп-11,,Опоп-11
node,305681187,Опоп-128,,Опоп-128
node,305682856,Опоп-130,,Опоп-130
node,305682854,Опоп-131,,Опоп-131
node,305682849,Опоп-132,,Опоп-132
node,305684978,Опоп-2,,Опоп-2
node,305684107,Опоп-25,,Опоп-25
node,305682023,Опоп-26,,Опоп-26
node,305685389,Опоп-3,,Опоп-3
node,305684478,Опоп-30,,Опоп-30
node,305686946,Опоп-5,,Опоп-5
node,305678962,Опоп-52,,Опоп-52
node,305676814,Опоп-53,,Опоп-53
node,305676103,Опоп-54,,Опоп-54
node,6561604802,Опоп-55,,Опоп-55
node,305678986,Опоп-56,,Опоп-56
node,305679881,Опоп-57,,Опоп-57
node,305679863,Опоп-59,,Опоп-59
node,305686871,Опоп-6,,Опоп-6
node,305685365,Опоп-63-64,,Опоп-63-64
node,305685450,Опоп-65,,Опоп-65
node,305685373,Опоп-7,,Опоп-7
node,305685565,Опоп-79,,Опоп-79
node,305684877,Опоп-8,,Опоп-8
node,305684726,Опоп-81,,Опоп-81
node,305684727,Опоп-83,,Опоп-83
node,305684893,Опоп-9,,Опоп-9
node,305685533,Опоп-91,,Опоп-91
node,305682775,Опоп-96,,Опоп-96
node,305682582,Опоп-97,,Опоп-97
node,305684687,Опоп-98,,Опоп-98
node,305684814,Опоп-99,,Опоп-99
node,5113137621,Опорный пункт 1-го микрорайона,,Опорный пункт 1-го микрорайона
node,4941128021,Опорный пункт 5-го микрорайона,,Опорный пункт 5-го микрорайона
node,4514873290,"Опорный пункт мкрн ""Железнодорожный""",,"Опорный пункт мкрн ""Железнодорожный"""
node,4835214421,Оршанский отдел Департамента охраны МВД Республики Беларусь,,Оршанский отдел Департамента охраны МВД Республики Беларусь
node,5767894754,Отдел принудительно исполнения Первомайского района,,Отдел принудительно исполнения Первомайского района
node,5761549383,Отдел принудительного исполнения,,Отдел принудительного исполнения
way,285314898,Отдел принудительного исполнения,,Отдел принудительного исполнения
way,315427049,Отдел принудительного исполнения,,Отдел принудительного исполнения
way,61539030,Отдел принудительного исполнения Оршанского райисполкома,,Отдел принудительного исполнения Оршанского райисполкома
node,3664215652,Отдел принудительного исполнения города Новополоцка,,Отдел принудительного исполнения города Новополоцка
node,2827441960,Отдел уголовного розыска,,Отдел уголовного розыска
node,6311414390,Отделение милиции Билево,,Отделение милиции Билево
way,242063240,Отделение по гражданству и миграции ОВД Добрушского райисполкома,,Отделение по гражданству и миграции ОВД Добрушского райисполкома
node,3887416099,Охрана,,Охрана
way,98996520,Охрана,,Охрана
way,205476281,Охрана,,Охрана
way,300240732,Охрана,,Охрана
way,340379847,Охрана,,Охрана
way,825766119,Партизанский отдел (г.Минска) Департамента охраны МВД Республики Беларусь,,Партизанский отдел (г.Минска) Департамента охраны МВД Республики Беларусь
node,3828205658,Первомайский районный отдел КГБ,,Первомайский районный отдел КГБ
node,9554553493,Пост милиции,,Пост милиции
node,3701973173,Пункт охраны порядка,,Пункт охраны порядка
way,497780902,Пункт охраны порядка,,Пункт охраны порядка
node,2919479475,Пункт охраны правопорядка,,Пункт охраны правопорядка
node,3208510993,Пункт охраны правопорядка,,Пункт охраны правопорядка
node,4240851110,Пункт охраны правопорядка,,Пункт охраны правопорядка
node,8709469260,Пункт охраны правопорядка,,Пункт охраны правопорядка
way,208866034,Районный отдел внутренних дел,,Районный отдел внутренних дел
node,4308306831,Совет ОПОП,,Совет ОПОП
node,1092245238,Совет ОПОП № 7,,Совет ОПОП № 7
node,4933375827,Совет общественного пункта охраны порядка,,Совет общественного пункта охраны порядка
node,4973870921,Толочинский районный отдел Следственного комитета,,Толочинский районный отдел Следственного комитета
way,159948281,Толочинское отделение департамента охраны,,Толочинское отделение департамента охраны
node,4370969644,Транспортная милиция,,Транспортная милиция
node,1102542878,Уголовно-исполнительная инспекция,,Уголовно-исполнительная инспекция
node,2827441962,Уголовно-исполнительная инспекция,,Уголовно-исполнительная инспекция
way,281902348,Уголовно-исполнительная инспекция,,Уголовно-исполнительная инспекция
node,306062546,Управление Следственного комитета Республики Беларусь по Брестской области,,Управление Следственного комитета Республики Беларусь по Брестской области
node,4541934898,Управление департамента финансовых расследований КГК,,Управление департамента финансовых расследований КГК
way,209972150,Чериковский РОВД,,Чериковский РОВД
node,4719018490,комитет государтсвенной безопасности,,комитет государтсвенной безопасности
node,4766621323,общественный пункт правопорядка,,общественный пункт правопорядка
