osm_type,osm_id,name,name:be,name:ru
way,1252767690,Ахоўная зона нафтаправода,,
way,1245261787,Будаўніцтва мятро,,
way,1233252046,"Внутрихозяйственный карьер ""Южнее 1,5 км д. Мерчицы""",,
way,1282916968,Восток-55,,
way,1232202167,"ГПК ""Доречье""",,
way,1232202173,"ГПК ""Доречье""",,
way,103103624,ГПК 7й Форт,,
way,429803842,ГПК Ангарская 1,,
way,359205911,ГСК Лабиринт,,
way,1275515676,ГСПК № 15 Советского района,,
way,1068277769,"Гаражный потребительский кооператив ""Карат""",,
way,1162842228,"Гаражный потребительский кооператив ""Политехник""",,
way,1209333931,Гаражный потребительский кооператив по ул. Советской Конституции 12,,
way,504056281,Гаражный потребительский кооператив № 8 г.Бреста,,
way,1105440714,Гаражный потребительский кооператив №3,,
way,504972857,Гранит-3,,
way,1282996075,Евроландшафт,,
way,1282533350,Зона отдыха,,
way,1234946246,"КФХ ""Любанские мосты""",,
way,1282735592,"КФХ ""Ягодный микс""",,
way,1282533349,"КФХ ""Ясное""",,
relation,17187610,Кар'ер «Гара Таварная»,,
relation,17189243,Кар'ер «Праходы»,,
way,1259028713,Конур Пинского района,,
way,504972863,Купаловский-2008,,
way,1232749328,Лесной питомник,,
way,1267988326,Лесопитомник,,
way,103119432,Митюша,,
way,1233798516,Можжевельник казацкий,,
way,921450563,Неиспользуемая местная свалка,,
way,1246443760,"Оздоровительный лагерь ""Туросполье""",,
way,1237761770,Поле,,
way,1230659207,Полигон ТБО,,
way,1116076128,Пути необщего промышленного пользования,,
way,1282267260,Сад,,
way,909410782,Садовый центр Jardan,,
way,1126868482,Складирование навоза,,
way,1133376817,Складирование навоза,,
way,1264970590,Территория храма Святителя Николая Чудотворца,,
way,68555512,Товарищество индивидуальных гаражей «Лунное»,,
way,1251610024,Частные земельный владения (клубника),,
way,1278456367,цветник из многолетних травянистых растений и декоративных кустарников,,
way,1278456368,цветник из многолетних травянистых растений и декоративных кустарников,,
