osm_type,osm_id,name,name:be,name:ru
way,874838142,"""Ленино""",,"""Ленино"""
way,1002102503,70-летию победы,,70-летию победы
way,1063401158,"Cпортивно-оздоровительный лагерь ""Чайка""",,"Cпортивно-оздоровительный лагерь ""Чайка"""
way,292734682,«Новатор Сад»,,«Новатор Сад»
way,482561613,Августовок,,Августовок
way,657495178,Авто,,Авто
way,188678605,АвтоБокс,,АвтоБокс
way,577829720,Автогараж Гродненского облисполкома,,Автогараж Гродненского облисполкома
way,729685111,Автодром АртДрайв,,Автодром АртДрайв
way,513618273,Автолюбитель,,Автолюбитель
way,579017646,Автолюбитель-Гродно,,Автолюбитель-Гродно
way,1054237801,Авторазбор Пинск,,Авторазбор Пинск
way,23644038,Автостоянка Лада-89,,Автостоянка Лада-89
way,104545933,Автотурист,,Автотурист
relation,8516333,Агрокомбинат Ждановичи,,Агрокомбинат Ждановичи
way,692052653,Агромир,,Агромир
way,111990154,"Агротуристический комплекс ""Каробчыцы""",,"Агротуристический комплекс ""Каробчыцы"""
way,185585068,"Агроусадьба ""На Сосновке""",,"Агроусадьба ""На Сосновке"""
way,551267649,"Агроусадьба ""Полесские Традиции""",,"Агроусадьба ""Полесские Традиции"""
way,373184376,"Агроусадьба ""Рыбацкое подворье""",,"Агроусадьба ""Рыбацкое подворье"""
way,730889728,Альбатрос,,Альбатрос
way,38846987,"БГЦТЛ - Участок ""Гродно""",,"БГЦТЛ - Участок ""Гродно"""
way,932378165,"База ""Белгипродор""",,"База ""Белгипродор"""
way,389878460,"База ФК ""Динамо-Брест""",,"База ФК ""Динамо-Брест"""
way,710691869,База ЭМУ,,База ЭМУ
way,149529550,База запаса Крулевщизна,,База запаса Крулевщизна
relation,14047120,База отдыха,,База отдыха
way,603137747,"База отдыха ""Автомобилист""",,"База отдыха ""Автомобилист"""
way,428191811,"База отдыха ""Браславские озера""",,"База отдыха ""Браславские озера"""
way,603134209,"База отдыха ""Гать""",,"База отдыха ""Гать"""
way,814452128,"База отдыха ""Кедровый бор"" .",,"База отдыха ""Кедровый бор"" ."
way,603134205,"База отдыха ""Коммунальник""",,"База отдыха ""Коммунальник"""
way,496944794,"База отдыха ""Лесная Сказка""",,"База отдыха ""Лесная Сказка"""
way,711717295,"База отдыха ""Лётцы-Энергетик""",,"База отдыха ""Лётцы-Энергетик"""
way,871662619,"База отдыха ""Малые Бесяды""",,"База отдыха ""Малые Бесяды"""
way,737306355,"База отдыха ""Мечта""",,"База отдыха ""Мечта"""
way,985225165,"База отдыха ""Молоди""",,"База отдыха ""Молоди"""
way,973355266,"База отдыха ""Припять""",,"База отдыха ""Припять"""
way,1018883621,"База отдыха ""Солнечная поляна""",,"База отдыха ""Солнечная поляна"""
way,976020515,"База отдыха ""Сосны""",,"База отдыха ""Сосны"""
way,1032955751,База отдыха «Бабий мох»,,База отдыха «Бабий мох»
way,351686162,База отдыха «Дружные ребята»,,База отдыха «Дружные ребята»
way,304193054,База отдыха «Мерея»,,База отдыха «Мерея»
way,603137746,База отдыха «Мечта»,,База отдыха «Мечта»
way,907368924,База отдыха «Стары млын»,,База отдыха «Стары млын»
way,1015323740,База отдыха Кувшинка,,База отдыха Кувшинка
way,702381080,База отдыха Форельки,,База отдыха Форельки
way,1011524426,База отдыха Хотова,,База отдыха Хотова
way,275409051,База хранения «Прудок»,,База хранения «Прудок»
way,713159506,"Барановичская дистанция электроснабжения, Волковысский район электроснабжения",,"Барановичская дистанция электроснабжения, Волковысский район электроснабжения"
way,588168929,Белоозерский рыбхоз,,Белоозерский рыбхоз
way,275514019,Богушевский рыбопитомник,,Богушевский рыбопитомник
way,56380401,Болото Вал,,Болото Вал
way,527429901,Борисовский полигон ТБО,,Борисовский полигон ТБО
way,38534405,Брилевский яблоневый сад,,Брилевский яблоневый сад
way,683488114,Бывшая свалка,,Бывшая свалка
way,318477419,Бывший детский лагерь отдыха,,Бывший детский лагерь отдыха
way,174745596,Вагонное депо,,Вагонное депо
way,209087927,Вагонное депо Барановичи,,Вагонное депо Барановичи
way,374109653,Введенский женский православный монастырь,,Введенский женский православный монастырь
way,699500850,Весенний сад,,Весенний сад
way,583024308,Ветеран-Гродно,,Ветеран-Гродно
way,700840020,Ветеранский,,Ветеранский
way,700843110,Вираж 100,,Вираж 100
way,698120749,Вишневец Авто,,Вишневец Авто
way,321924765,Внутренний дворик полубашни,,Внутренний дворик полубашни
way,363568054,Внутрихозяйственный карьер ПГС «Лесковичи»,,Внутрихозяйственный карьер ПГС «Лесковичи»
way,515831082,Встречный,,Встречный
node,9321162310,Высь,,Высь
way,499015065,ГАРАЖИ ГОР.ИСП.КОМ.,,ГАРАЖИ ГОР.ИСП.КОМ.
way,709577949,ГВОУО «Сморгонский лагерь «Орлёнок»,,ГВОУО «Сморгонский лагерь «Орлёнок»
way,768680509,ГК,,ГК
way,39255655,"ГК ""Автолюбитель""",,"ГК ""Автолюбитель"""
way,915091594,"ГК ""Виленский""",,"ГК ""Виленский"""
way,39255657,"ГК ""Гигант""",,"ГК ""Гигант"""
way,293283747,"ГК ""Двина""",,"ГК ""Двина"""
way,326571943,"ГК ""Олимпийский""",,"ГК ""Олимпийский"""
way,326571944,"ГК ""Орбита""",,"ГК ""Орбита"""
way,720107926,"ГК ""Паутина""",,"ГК ""Паутина"""
way,199885254,"ГК ""Перекресток""",,"ГК ""Перекресток"""
way,155736326,"ГК ""Фестивальный-32""",,"ГК ""Фестивальный-32"""
way,313090055,ГК «Звезда»,,ГК «Звезда»
way,96803344,ГК Восток-А,,ГК Восток-А
way,247949566,ГК №-14,,ГК №-14
way,703015890,ГК №19,,ГК №19
way,321487388,ГК №20,,ГК №20
way,155734748,ГК №21,,ГК №21
way,223679203,ГК №23,,ГК №23
way,656830337,ГК №25,,ГК №25
way,176955904,ГК №31,,ГК №31
way,176436941,ГК №5,,ГК №5
way,202058098,ГК №8,,ГК №8
way,242384551,"ГК-""Окраина""",,"ГК-""Окраина"""
way,768680508,"ГК-""Порошковик""",,"ГК-""Порошковик"""
way,156703545,ГК-1,,ГК-1
way,804895986,ГК-10,,ГК-10
way,155736327,ГК-11,,ГК-11
way,169688104,ГК-12,,ГК-12
way,769092499,ГК-13,,ГК-13
way,170174960,ГК-16,,ГК-16
way,170063547,ГК-17,,ГК-17
way,156703552,ГК-18,,ГК-18
way,170066197,"ГК-19 ""Болотный""",,"ГК-19 ""Болотный"""
way,234012425,ГК-2,,ГК-2
way,169688382,ГК-20,,ГК-20
way,768680511,ГК-22,,ГК-22
way,169785653,ГК-24,,ГК-24
way,769035635,ГК-26,,ГК-26
way,487447318,ГК-27,,ГК-27
way,769037847,ГК-27А,,ГК-27А
way,517823539,ГК-28,,ГК-28
way,169687504,ГК-29,,ГК-29
way,239470139,ГК-3,,ГК-3
relation,11109642,ГК-30,,ГК-30
way,768684818,ГК-33,,ГК-33
way,242265913,ГК-35,,ГК-35
way,200247661,ГК-36,,ГК-36
way,804443695,ГК-37,,ГК-37
way,155734750,"ГК-4 ""Бампер""",,"ГК-4 ""Бампер"""
way,235736590,ГК-5p,,ГК-5p
way,701409064,ГК-6,,ГК-6
way,170063546,ГК-9,,ГК-9
way,171247830,"ГПК ""Берёза"" площадка №4",,"ГПК ""Берёза"" площадка №4"
way,48087961,"ГПК ""Вишневый""",,"ГПК ""Вишневый"""
way,623759976,"ГПК ""Вишневый""",,"ГПК ""Вишневый"""
way,231041395,"ГПК ""Лётный""",,"ГПК ""Лётный"""
way,40849080,"ГПК ""Светофор""",,"ГПК ""Светофор"""
way,281364643,ГПК «Авиатор»,,ГПК «Авиатор»
way,421867010,ГПК «Витязь»,,ГПК «Витязь»
way,27897619,ГПК «Зелёный Городок»,,ГПК «Зелёный Городок»
way,27897610,ГПК «Лада»,,ГПК «Лада»
way,253456350,ГПК «Форсаж»,,ГПК «Форсаж»
way,306688898,ГПК Автомобилист-6,,ГПК Автомобилист-6
way,430600341,ГПК Ветеран64,,ГПК Ветеран64
way,23558466,ГПК Гаражи,,ГПК Гаражи
way,309110981,ГПК Дах-23,,ГПК Дах-23
way,603468196,ГПК Кунцевщина-1,,ГПК Кунцевщина-1
way,720130922,ГПК Немига-Лада,,ГПК Немига-Лада
way,486392842,ГПК Отопитель-22,,ГПК Отопитель-22
way,145669189,ГПК Светофор,,ГПК Светофор
way,27949023,ГПК Сосны-2,,ГПК Сосны-2
way,27897621,ГПК № 14,,ГПК № 14
way,281649441,ГПК № 2,,ГПК № 2
way,27897607,ГПК № 5,,ГПК № 5
way,168280022,ГПК № 7,,ГПК № 7
way,27897613,ГПК №1,,ГПК №1
way,27897633,ГПК №13,,ГПК №13
way,27897624,ГПК №15,,ГПК №15
way,160441119,ГПК №21,,ГПК №21
way,185937953,ГПК №3,,ГПК №3
way,437936410,ГПК №3,,ГПК №3
way,437936407,ГПК №51,,ГПК №51
way,27897647,ГПК № 7,,ГПК № 7
way,27897635,ГПК-10,,ГПК-10
way,202375418,ГПК-13,,ГПК-13
way,454712839,ГПК-23,,ГПК-23
way,454712838,ГПК-24,,ГПК-24
relation,3207475,ГПК-7,,ГПК-7
way,818669778,ГПК-7,,ГПК-7
way,27897650,ГПК-9,,ГПК-9
way,226647416,ГПК-9,,ГПК-9
way,31296038,"ГСК "" Илимский""",,"ГСК "" Илимский"""
way,242191258,"ГСК ""Альбатрос""",,"ГСК ""Альбатрос"""
way,110154299,"ГСК ""Ветеран-96""",,"ГСК ""Ветеран-96"""
way,59097510,"ГСК ""Гора-1""",,"ГСК ""Гора-1"""
way,585446712,"ГСК ""Горизонт""",,"ГСК ""Горизонт"""
relation,12178280,"ГСК ""Дивизион""",,"ГСК ""Дивизион"""
way,468170132,"ГСК ""Домостроитель""",,"ГСК ""Домостроитель"""
way,494778855,"ГСК ""Колас""",,"ГСК ""Колас"""
way,494778856,"ГСК ""Колас""",,"ГСК ""Колас"""
way,98723318,"ГСК ""Колодищи""",,"ГСК ""Колодищи"""
way,336077612,"ГСК ""Куприяновский""",,"ГСК ""Куприяновский"""
way,182766733,"ГСК ""Лада""",,"ГСК ""Лада"""
way,1042667291,"ГСК ""Легендарный""",,"ГСК ""Легендарный"""
way,40842709,"ГСК ""Механизатор""",,"ГСК ""Механизатор"""
relation,12178400,"ГСК ""Механизатор-24""",,"ГСК ""Механизатор-24"""
way,230741292,"ГСК ""Парковый""",,"ГСК ""Парковый"""
