osm_type,osm_id,name,name:be,name:ru
node,12386835901,МЧС,,
way,176354648,МЧС,,
way,695026762,МЧС,,
way,1409127955,ПАСП Каменюки,,
way,1321466086,ПАСП Мухавец,,
way,1414708633,ПАСП Шерешево,,
way,1428102936,ПАСП № 15 аг. Томашовка,,
way,377466042,ПАСП №12,,
node,11455034144,ПАСП №15,,
way,637140051,ПАСП-11,,
node,9983929129,ПАСП-13 Дрибинского РОЧС,,
node,9983921912,ПАСП-14 Дрибинского РОЧС,,
way,1426264973,ПАСЧ № 3 Кобринского РОЧС аг. Дивин,,
way,480850512,ПАСЧ-3 Чисть,,
way,238877756,"ПАЧС Свислочь, общежитие",,
way,1271776375,Пожарная аварийно-спасательная часть №16,,
way,1270910140,Пожарно-химическая станция,,
way,1423076206,Пожарный аварийно-спасательный пост №12,,
node,11034142868,Пожарный аварийно-спасательный пост №14,,
way,1311867723,Щучинский РОЧС,,
way,215388444,пожарный пост,,
