osm_type,osm_id,name,name:be,name:ru
node,3392176903,"""Дом охотника и рыболова"" Межеевского",,"""Дом охотника и рыболова"" Межеевского"
node,2525734566,"""КАДМ"" Belmotel",,"""КАДМ"" Belmotel"
node,9848229717,«Дружба»,,«Дружба»
way,204118510,"Агроусадьба ""Мир цветов""",,"Агроусадьба ""Мир цветов"""
way,678348425,"Агроусадьба ""У Лешего""",,"Агроусадьба ""У Лешего"""
node,10944531305,Аптека Оссовского,,Аптека Оссовского
node,6413901285,Арт парк Манылы Холм,,Арт парк Манылы Холм
way,868057181,"База отдыха ""Сезон охоты""",,"База отдыха ""Сезон охоты"""
node,9812512317,Балкон,,Балкон
node,5821688576,Башмак,,Башмак
node,9653875217,Ботинки,,Ботинки
node,4350138826,Бугорок,,Бугорок
node,10973590937,Вверх,,Вверх
node,9891088064,Велят-камень,,Велят-камень
node,7592491285,Верховик,,Верховик
way,375046064,Вишенка,,Вишенка
node,3837759813,Высотка 12,,Высотка 12
node,2444386335,"Гостиница ""Уют""",,"Гостиница ""Уют"""
node,1012822958,Гостиница «Башня»,,Гостиница «Башня»
node,4383126391,Гостиница ОЗАА,,Гостиница ОЗАА
node,2766736637,Гостиница Октябрьская,,Гостиница Октябрьская
node,1244220175,Гостиница РИПО,,Гостиница РИПО
node,10238223359,Гривень-камень,,Гривень-камень
node,9633178617,Дворник «Чистота залог здоровья! Порядок прежде всего!»,,Дворник «Чистота залог здоровья! Порядок прежде всего!»
node,9680221217,Декоративное сооружение «Пуля»,,Декоративное сооружение «Пуля»
way,968567059,Деревенская благодать,,Деревенская благодать
node,11008632685,Динозавр,,Динозавр
node,4121980589,Добрая Банька,,Добрая Банька
way,466192539,Добрая банька,,Добрая банька
node,10979353522,Добро пожаловать,,Добро пожаловать
node,1307532121,Дом рыбака и охотника Торока,,Дом рыбака и охотника Торока
node,9711493717,Дом с дворами-колодцами,,Дом с дворами-колодцами
node,8149616517,"ЗКП ""Руно""",,"ЗКП ""Руно"""
node,10574767841,Заводной пёс,,Заводной пёс
way,448627165,Закуток,,Закуток
way,484415936,Здраво,,Здраво
node,10742997677,Камень любви,,Камень любви
way,301256333,Клёвзово,,Клёвзово
way,691274387,Колдовское озеро,,Колдовское озеро
node,5652038256,"Лагерь ""Строитель""",,"Лагерь ""Строитель"""
node,5835951090,Лазурная (заказная турстоянка),,Лазурная (заказная турстоянка)
node,8662943472,Лачуга,,Лачуга
node,10771304605,Лесная заводь,,Лесная заводь
node,10780222605,Луна-13,,Луна-13
node,10286992699,Любовник,,Любовник
node,9573654217,Лягушка,,Лягушка
node,6390273076,Манылы холм,,Манылы холм
way,682368639,Манылы холм,,Манылы холм
node,7746814566,Медвежка,,Медвежка
node,10973590936,Меняем свет,,Меняем свет
node,10763753650,Мечта,,Мечта
node,8540411879,Миру — мир,,Миру — мир
node,10310841705,Молодожёны,,Молодожёны
node,10937886697,На «Тропу Великана»,,На «Тропу Великана»
node,10937886964,На «Тропу Великана»,,На «Тропу Великана»
node,10937887026,На «Тропу Великана»,,На «Тропу Великана»
node,10881562230,Не оставляйте мусор в лесу,,Не оставляйте мусор в лесу
node,7046944246,"Не спи, создавай, твори!",,"Не спи, создавай, твори!"
node,9878625317,Новая жизнь в обмен на крышечки,,Новая жизнь в обмен на крышечки
node,10977346495,ПМК-8,,ПМК-8
node,9754636117,Памятная доска Богуле М.В.,,Памятная доска Богуле М.В.
node,9649388717,Памятная доска В.Н. Першову,,Памятная доска В.Н. Першову
way,479374222,Познянка,,Познянка
node,3392176938,Полюшка,,Полюшка
node,306065292,Прекрасный Луг,,Прекрасный Луг
node,5880315421,Привет,,Привет
node,10574767941,Профиль взгляда,,Профиль взгляда
node,6483321076,Птицы из крышечек,,Птицы из крышечек
node,306065141,Разенка,,Разенка
node,9573680417,Решётка-часы,,Решётка-часы
node,5060796749,САС,,САС
node,5318005924,Света,,Света
node,10791747116,Склад (навес) для щепы,,Склад (навес) для щепы
node,2669885035,Станок качалка,,Станок качалка
node,5215740122,Строительный мастерок,,Строительный мастерок
way,1085171838,Стулы,,Стулы
node,7728352387,Суворовский колодец,,Суворовский колодец
node,10961316867,Там Где Хорошо,,Там Где Хорошо
way,466193699,Титенкофф,,Титенкофф
node,483424385,Тристол,,Тристол
way,248610524,У чистого труда,,У чистого труда
node,2924558579,УВ,,УВ
node,2924558580,УВ,,УВ
node,2924558581,УВ,,УВ
node,6199487385,Уголки,,Уголки
node,6615915204,Урочище Марчеха,,Урочище Марчеха
node,3848666074,"Усадебный дом ""Жерно"" (19в.)",,"Усадебный дом ""Жерно"" (19в.)"
way,376694367,"Усадебный дом Иодко ""Пуково"" (19в.)",,"Усадебный дом Иодко ""Пуково"" (19в.)"
node,5549955814,"Усадьба ""Зов предков""",,"Усадьба ""Зов предков"""
way,713515781,"Усадьба ""Красное""",,"Усадьба ""Красное"""
way,948976179,"Усадьба ""На Прудах""",,"Усадьба ""На Прудах"""
node,5652376521,"Усадьба ""На опушке""",,"Усадьба ""На опушке"""
node,5292209921,"Усадьба ""Черёмушки""",,"Усадьба ""Черёмушки"""
node,8097505091,Усадьба Родниковый край,,Усадьба Родниковый край
node,10755390908,Уютный уголок,,Уютный уголок
way,339699265,ФанДОК,,ФанДОК
node,10254702159,Фонарщик,,Фонарщик
node,2312728624,ЦШК,,ЦШК
node,3891784547,"Экомузей ""Пасека""",,"Экомузей ""Пасека"""
node,4755130222,"Экоусадьба ""Изначальное""",,"Экоусадьба ""Изначальное"""
node,4316882902,Янтарный берег,,Янтарный берег
node,5470373222,дружба,,дружба
node,4330794603,королева голубика,,королева голубика
node,8283760930,пкт 145,,пкт 145
way,216869220,"усадьба ""Избушка""",,"усадьба ""Избушка"""
node,7005894685,усадьба «Заимка лешего»,,усадьба «Заимка лешего»
