osm_type,osm_id,name,name:be,name:ru
node,5685145667,Camping Лисно,,
node,6196165565,Hostel Сenter,,
node,5728883021,Panzer Nest - немецкий пулеметный броневой колпак,,
node,6432647486,VIP усадьба Куты,,
node,8230826373,Villa-бутик,,
node,4362324590,Агроусадьба Natürlich,,
node,9586444817,Апартаменты Blue Apartment Center City,,
node,6784463760,Апартаменты DOMUS,,
node,7618419385,Апартаменты View Point,,
node,4829052913,Апартаменты «Gidimin»,,
node,4829042558,Апартаменты «Old town»,,
node,5182053409,Апартаменты «Truhanova»,,
node,8062069385,Апартаменты-студия Nina,,
node,5327791602,Апартаменты/квартира Flatmogilev.by,,
node,5327791603,Апартаменты/квартира Flatmogilev.by,,
node,5327791604,Апартаменты/квартира Flatmogilev.by,,
node,5327791605,Апартаменты/квартира Flatmogilev.by,,
node,5327791606,Апартаменты/квартира Flatmogilev.by,,
node,5327791607,Апартаменты/квартира Flatmogilev.by,,
node,5327791608,Апартаменты/квартира Flatmogilev.by,,
node,5327791609,Апартаменты/квартира Flatmogilev.by,,
node,5327791610,Апартаменты/квартира Flatmogilev.by,,
node,5327791611,Апартаменты/квартира Flatmogilev.by,,
node,11031957705,Бывш. казармы (1930-е г.),,
node,11030373705,Бывш. учетн.-плановый техникум (1960г.),,
node,11025971825,Верховое болото,,
node,11020779107,Веселапед,,
node,11027715743,Выгул собак запрещён,,
node,4172312057,Граффити «Are you seriously?»,,
node,4985641772,Граффити «Cypress Hill»,,
node,11031950205,"Дом в закопанском стиле (1930-е г., переделан)",,
node,11025971828,Ель,,
node,8383294474,Музей Лего Las-Legas,,
node,9711018417,Мурал «Dandy Land»,,
node,9658376317,Мурал «Love Minsk»,,
node,5457692321,ООО RETUR,,
node,11025971827,Озеро Переров,,
node,11025971826,Омела белая,,
node,11030313005,Остатки старой местечковой застройки (XIXв.),,
node,9749022240,Отель Villa Sarra 3*,,
node,10302493791,Пітомнік глушцоў,,
node,11023220768,Равнина посреди берёзового леса,,
node,10928284735,Рынек,,
node,11030382705,Советская застройка (1940-80-ых гг.),,
node,11032291605,Старый амбар (предполож. XIXв.),,
node,11019615405,Стоянка №1,,
way,1025917455,У Лявона,,
node,10201876445,Хозпстройка нач.20в.,,
way,1052380531,Щербо-ki,,
