osm_type,osm_id,name,name:be,name:ru
way,43111394,2-й корпус санатория,,2-й корпус санатория
node,2766722604,ДРОЦ Романтика Люкс,,ДРОЦ Романтика Люкс
node,2766722621,ДРОЦ Сидельники,,ДРОЦ Сидельники
way,515563771,ОК «Спутник»,,ОК «Спутник»
node,2766722580,Приморский,,Приморский
way,551733411,Ружанский,,Ружанский
way,551841086,Ружанский,,Ружанский
relation,3083050,"Санаторий ""Нарочанка""",,"Санаторий ""Нарочанка"""
way,953542164,"Санаторий ""Нарочанский берег""",,"Санаторий ""Нарочанский берег"""
way,172124102,"Санаторий - профилакторий ""Родник""",,"Санаторий - профилакторий ""Родник"""
way,370447570,Санаторий «Лесные озёра»,,Санаторий «Лесные озёра»
node,2766722467,Санаторий БАТЭ,,Санаторий БАТЭ
node,2766722469,Санаторий Белая Русь,,Санаторий Белая Русь
node,2766722472,Санаторий Белино,,Санаторий Белино
node,2766722481,Санаторий Боровичок,,Санаторий Боровичок
way,607982866,Санаторий Боровое,,Санаторий Боровое
node,2766722489,Санаторий Вяжути,,Санаторий Вяжути
node,2766722493,Санаторий Дубровенка,,Санаторий Дубровенка
node,2766722496,Санаторий Ждановичи,,Санаторий Ждановичи
node,2766722504,Санаторий Загорье,,Санаторий Загорье
node,2766722517,Санаторий Качье,,Санаторий Качье
node,2766722519,Санаторий Колос,,Санаторий Колос
way,142714549,Санаторий Криница,,Санаторий Криница
way,168539535,Санаторий Кристалл,,Санаторий Кристалл
node,2766722546,Санаторий Нафтан,,Санаторий Нафтан
node,2766722553,Санаторий Острошицкий городок,,Санаторий Острошицкий городок
way,375795717,Санаторий Подорожник,,Санаторий Подорожник
node,2766722567,Санаторий Пралеска,,Санаторий Пралеска
way,23563506,Санаторий Пралеска,,Санаторий Пралеска
node,2766722599,Санаторий Радуга,,Санаторий Радуга
node,2766722613,Санаторий Свитанак,,Санаторий Свитанак
way,826628232,Санаторий Свитанок,,Санаторий Свитанок
node,2766722618,Санаторий Свитязь,,Санаторий Свитязь
node,2766722628,Санаторий Сосновый бор,,Санаторий Сосновый бор
way,229714861,Санаторий Спутник,,Санаторий Спутник
node,2766722635,Санаторий Талька,,Санаторий Талька
node,2766722643,Санаторий Энергетик,,Санаторий Энергетик
way,578837645,Санаторий Энергетик,,Санаторий Энергетик
way,871149568,Санаторий Энергетик,,Санаторий Энергетик
node,2766722646,Санаторий Юность,,Санаторий Юность
node,3612037978,Студенческий санаторий-профилакторий,,Студенческий санаторий-профилакторий
node,2766722624,"ЧУП ""АСБ Центр оздоровления Солнечный""",,"ЧУП ""АСБ Центр оздоровления Солнечный"""
way,263396972,база отдыха Автобусного парка Волковыска,,база отдыха Автобусного парка Волковыска
way,229712600,корпус Лазурный,,корпус Лазурный
node,2766722529,санаторий «Лётцы»,,санаторий «Лётцы»
way,300352454,санаторий «Пралеска»,,санаторий «Пралеска»
node,2766722556,санаторий Полоцкий,,санаторий Полоцкий
