dep_osm_type,dep_osm_id,dependant,osm_type,osm_id,name,name:be,name:ru
way,38061337,Мікашэвічы,node,11099437160,Мікашэвічы,,
way,38061337,Мікашэвічы,node,11099437160,Мікашэвічы,,
way,38061338,Мікашэвічы,node,11099437160,Мікашэвічы,,
way,38061338,Мікашэвічы,node,11099437160,Мікашэвічы,,
way,49774835,Мікашэвічы,node,11099437160,Мікашэвічы,,
way,49774835,Мікашэвічы,node,11099437160,Мікашэвічы,,
way,25226593,Нарач,relation,12097777,Нарач,,
way,25226593,Нарач,relation,12097777,Нарач,,
way,38235605,Нарач,relation,12097777,Нарач,,
way,38235605,Нарач,relation,12097777,Нарач,,
relation,14464275,С.Т. Прогресс,node,9955883859,С.Т. Прогресс,,
relation,14464276,с/т «Строитель-1985»,node,9955883868,с/т «Строитель-1985»,,
