osm_type,osm_id,name,name:be,name:ru
way,224706674,Алесинский детский сад,,Алесинский детский сад
way,501403905,Бабинический детский сад,,Бабинический детский сад
way,207421766,Башневский ясли-сад,,Башневский ясли-сад
way,456406927,Бегомльский ясли-сад,,Бегомльский ясли-сад
way,275397495,Богушевский ясли-сад,,Богушевский ясли-сад
way,28554804,Большевистский ясли-сад Минского района,,Большевистский ясли-сад Минского района
way,637516979,Большеэйсмонтовский ясли-сад,,Большеэйсмонтовский ясли-сад
way,256698746,Борисовщанский детсад,,Борисовщанский детсад
node,6357925928,В кругу друзей,,В кругу друзей
way,802032166,Ветринский ясли-сад № 1,,Ветринский ясли-сад № 1
way,962379702,ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ОБРАЗОВАНИЯ «ДЕТСКАЯ ДЕРЕВНЯ «ИСТОКИ»,,ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ОБРАЗОВАНИЯ «ДЕТСКАЯ ДЕРЕВНЯ «ИСТОКИ»
way,63393137,"ГУО ""Боровлянский детский сад №2""",,"ГУО ""Боровлянский детский сад №2"""
way,372848677,"ГУО ""Детский сад №3""",,"ГУО ""Детский сад №3"""
way,845460959,"ГУО ""Детский сад №4 д.Копище"" (""Карандаш"")",,"ГУО ""Детский сад №4 д.Копище"" (""Карандаш"")"
way,280736562,"ГУО ""Дошкольный центр развития ребенка""",,"ГУО ""Дошкольный центр развития ребенка"""
way,518308751,"ГУО ""Драповский ясли-сад Слонимского района""",,"ГУО ""Драповский ясли-сад Слонимского района"""
way,212585303,"ГУО ""Молодечненский санаторный ясли-сад №17 ""Солнышко""",,"ГУО ""Молодечненский санаторный ясли-сад №17 ""Солнышко"""
way,463849533,"ГУО ""Рубежевичский детский сад""",,"ГУО ""Рубежевичский детский сад"""
way,42792860,"ГУО ""Санаторный ясли-сад № 153""",,"ГУО ""Санаторный ясли-сад № 153"""
way,704262561,"ГУО ""УЛУКОВСКИЙ ЯСЛИ - САД""",,"ГУО ""УЛУКОВСКИЙ ЯСЛИ - САД"""
node,6503323185,"ГУО ""Язненский детский сад""",,"ГУО ""Язненский детский сад"""
relation,4119888,ГУО «Дошкольный центр развития ребёнка №19 г. Молодечно»,,ГУО «Дошкольный центр развития ребёнка №19 г. Молодечно»
node,5493461522,ГУО «Октябрьский детский сад Логойского района»,,ГУО «Октябрьский детский сад Логойского района»
way,426596663,ГУО «Плещеницкий сад-ясли № 1»,,ГУО «Плещеницкий сад-ясли № 1»
way,386788187,ГУО «Плещеницкий сад-ясли № 2»,,ГУО «Плещеницкий сад-ясли № 2»
way,422711753,ГУО «Плещеницкий сад-ясли № 4»,,ГУО «Плещеницкий сад-ясли № 4»
way,422719312,ГУО «Плещеницкий сад-ясли № 5»,,ГУО «Плещеницкий сад-ясли № 5»
way,669573056,ГУО «Ясли-сад аг.Мелешки Слуцкого района»,,ГУО «Ясли-сад аг.Мелешки Слуцкого района»
