osm_type,osm_id,name,name:be,name:ru
way,1157201867,Cемковский фельдшерско-акушерский пункт (ФАП),,Семковский ФАП
node,13758892414,Балтас Цэнтр,,Балтас Цетр
node,11716294635,Беларучский фе́льдшерско-акуше́рский пу́нкт (ФАП),,Беларучский ФАП
node,13461928173,Жамчужэнская амбулаторыя ўрача агульнай практыкі,,Жемчужненская амбулатория врача общей практики
node,12740330883,"Кансультацыі ўрача-псіхатэрапеўта, псіхіятра",,"Консультации врача-психотерапевта, психиатра"
node,13758887612,Ніра,,Нира
way,317893298,Острошицкий фельдшерско-акушерский пункт (ФАП),,Острошицкий ФАП
way,238874490,Паліклініка,,Поликлиника
node,12740342730,Паслугі псіхалагічнай дапамогі,,Услуги психологической помощи
node,4648648490,Стоматологический кабинет,,В центре
node,13652511525,Уралагічнае аддзяленне,,Урологическое отделение
way,656328192,Фельчарска-акушэрскі пункт,,Фельдшерско-акушерский пункт
way,506292531,Цэнтральная раённая паліклініка,,Центральная районная поликлиника
way,977992253,Чуденичский фельдшерско-акушерский пункт (ФАП),,Чуденичский ФАП
