osm_type,osm_id,name,name:be,name:ru
node,4776290767,"""Аптека №8""",,"""Аптека №8"""
way,264297713,"""Аптека №88""",,"""Аптека №88"""
way,247860088,"""Детская Консультация""",,"""Детская Консультация"""
node,2267109763,"""Доктор время""",,"""Доктор время"""
node,7193063876,"""Лиямед"" Медицинский центр пластической хирургии",,"""Лиямед"" Медицинский центр пластической хирургии"
node,5772479908,"""Медцентр - МТЗ"" Здравпункт ЛЦ1",,"""Медцентр - МТЗ"" Здравпункт ЛЦ1"
node,6131566853,"""Планета здоровья""",,"""Планета здоровья"""
node,4200199596,"""Элегия""",,"""Элегия"""
way,25321742,22 городская поликлиника для взрослых,,22 городская поликлиника для взрослых
way,25394311,25-я городская детская поликлиника,,25-я городская детская поликлиника
node,8831064117,32 Карата,,32 Карата
way,265408856,4-я Городская поликлиника,,4-я Городская поликлиника
way,128794470,4-я городская детская клиническая поликлиника,,4-я городская детская клиническая поликлиника
node,3623358795,4-я женская консультация,,4-я женская консультация
node,7787561752,7-я клиника семейной медицины,,7-я клиника семейной медицины
way,25327349,8-я Стоматология,,8-я Стоматология
node,9533446696,ADEL-Эканом №53,,ADEL-Эканом №53
node,8548257721,А Клиника,,А Клиника
node,6109709492,А+,,А+
node,5363353621,АРС Валео,,АРС Валео
node,1652609630,АСА Дент,,АСА Дент
node,4719264289,Авиценна,,Авиценна
node,5310604146,Адвантфарма,,Адвантфарма
node,6111057147,Адвантфарма,,Адвантфарма
node,2825369873,Адвантфарма №8,,Адвантфарма №8
node,1716478922,Адвантфарма № 4,,Адвантфарма № 4
way,410887161,Административно-лечебный корпус,,Административно-лечебный корпус
way,549197918,Азбука здоровья,,Азбука здоровья
node,7826786395,Акушер,,Акушер
node,4550601092,Алекс-хэлп,,Алекс-хэлп
node,4831012123,Алекстри,,Алекстри
node,305684917,Аленфарм-Плюс ОДО Аптека №2,,Аленфарм-Плюс ОДО Аптека №2
node,305675693,"Аленфарм-Плюс, аптека №13",,"Аленфарм-Плюс, аптека №13"
node,9504253136,Альфа Аптека  №19,,Альфа Аптека  №19
node,4746361122,Альфа Аптека №11,,Альфа Аптека №11
node,5024614022,Альфа Аптека №12,,Альфа Аптека №12
node,9504253137,Альфа Аптека №13,,Альфа Аптека №13
node,4139152691,Альфа Аптека №3,,Альфа Аптека №3
node,1345114261,Альфа аптека №10,,Альфа аптека №10
node,6028161890,Альфа аптека №10,,Альфа аптека №10
node,6135624132,Альфа аптека №10,,Альфа аптека №10
node,9623974408,Альфа аптека №11,,Альфа аптека №11
node,385751847,Альфа аптека №16,,Альфа аптека №16
node,8375041274,Альфа аптека №16,,Альфа аптека №16
node,9547408809,Альфа аптека №16,,Альфа аптека №16
node,8749158207,Альфа аптека №18,,Альфа аптека №18
node,8749163812,Альфа аптека №18,,Альфа аптека №18
node,9624009942,Альфа аптека №18,,Альфа аптека №18
node,1094903040,Альфа аптека №19,,Альфа аптека №19
node,5693172922,Альфа аптека №19,,Альфа аптека №19
node,6979706418,Альфа аптека №19,,Альфа аптека №19
node,7265878584,Альфа аптека №26,,Альфа аптека №26
node,2477660465,Альфа аптека №4,,Альфа аптека №4
node,5037950322,Альфа аптека №4,,Альфа аптека №4
node,7080534396,Альфа аптека №4,,Альфа аптека №4
node,726769542,Альфа аптека №5,,Альфа аптека №5
node,4012983852,Альфа аптека №7,,Альфа аптека №7
node,8375041256,Альфа аптека №7,,Альфа аптека №7
node,5777537965,Альфа аптека №8,,Альфа аптека №8
node,6639792785,Альфа аптека №8,,Альфа аптека №8
node,8375041276,Альфа аптека №8,,Альфа аптека №8
node,8375041277,Альфа аптека №8,,Альфа аптека №8
node,860815902,Альфа аптека №9,,Альфа аптека №9
node,7674391685,Альфа аптека №9,,Альфа аптека №9
node,8749138799,Альфа аптека №9,,Альфа аптека №9
node,1558012185,АльфаМед,,АльфаМед
node,7695958202,Альфамед,,Альфамед
node,5867853134,Амадей Клиник,,Амадей Клиник
node,8605173140,Амадей Клиник,,Амадей Клиник
way,159801422,Амбулатория врача общей практики,,Амбулатория врача общей практики
node,6126841235,Амбулатория поликлиники №3,,Амбулатория поликлиники №3
node,6518149209,Амедея,,Амедея
node,8868230726,Андрей Сергеевич Миньков,,Андрей Сергеевич Миньков
node,7159423179,"Аптека "" Могилёвская РУП Фармация""",,"Аптека "" Могилёвская РУП Фармация"""
way,395536851,"Аптека ""Ванька-встанька""",,"Аптека ""Ванька-встанька"""
node,5763300453,Аптека #4,,Аптека #4
node,5689812365,Аптека #4 пятой категории,,Аптека #4 пятой категории
node,5329653172,Аптека 104,,Аптека 104
way,276276937,Аптека 148,,Аптека 148
node,5980758485,Аптека 23,,Аптека 23
node,4053182053,Аптека 8,,Аптека 8
node,9818765283,Аптека N255,,Аптека N255
node,6138683376,Аптека Любимая,,Аптека Любимая
node,306063583,Аптека Учпкп 'Титан',,Аптека Учпкп 'Титан'
node,5937110245,Аптека бережливых,,Аптека бережливых
node,8531282679,Аптека бережливых,,Аптека бережливых
node,5827298795,Аптека бережливых №2,,Аптека бережливых №2
node,5086645127,Аптека здоровья,,Аптека здоровья
way,250561663,Аптека корпус № 3,,Аптека корпус № 3
way,269508022,Аптека № 11,,Аптека № 11
node,1745445700,Аптека № 168,,Аптека № 168
node,5093646322,Аптека № 192,,Аптека № 192
way,113418837,Аптека № 202,,Аптека № 202
node,4516608369,Аптека № 289,,Аптека № 289
node,8692548334,Аптека № 3 Вест,,Аптека № 3 Вест
node,2602926799,Аптека № 45,,Аптека № 45
node,5240058158,Аптека № 8,,Аптека № 8
node,305674782,Аптека №101,,Аптека №101
node,3220263139,Аптека №102 (филиал 2),,Аптека №102 (филиал 2)
node,4130938998,Аптека №106,,Аптека №106
node,2165306109,Аптека №107,,Аптека №107
way,111136555,Аптека №108,,Аптека №108
node,4258357993,Аптека №11 Лигматон,,Аптека №11 Лигматон
node,2628639101,Аптека №12,,Аптека №12
node,8114356360,Аптека №12,,Аптека №12
way,822570050,Аптека №120,,Аптека №120
node,4815441224,Аптека №124,,Аптека №124
node,5047858422,Аптека №131,,Аптека №131
node,9116967871,Аптека №132,,Аптека №132
node,5731886597,Аптека №136,,Аптека №136
node,306061900,Аптека №139,,Аптека №139
node,4065696768,Аптека №14 ООО Интерофицина Плюс,,Аптека №14 ООО Интерофицина Плюс
way,609169615,Аптека №142,,Аптека №142
node,2249805946,Аптека №152,,Аптека №152
node,306069050,Аптека №173,,Аптека №173
node,9240450273,Аптека №18 Лигматон,,Аптека №18 Лигматон
node,8593436619,Аптека №18 ФармОстров,,Аптека №18 ФармОстров
node,5770004007,Аптека №184,,Аптека №184
node,4682094290,Аптека №20 ФармОстров,,Аптека №20 ФармОстров
node,5222183191,Аптека №20/1,,Аптека №20/1
node,5315379429,Аптека №209/4,,Аптека №209/4
node,9116967898,Аптека №217,,Аптека №217
node,3147999317,Аптека №22,,Аптека №22
node,5663256186,Аптека №228,,Аптека №228
node,8693440771,Аптека №23 ФармОстров,,Аптека №23 ФармОстров
node,4929360021,Аптека №236,,Аптека №236
node,8693440769,Аптека №25 ФармОстров,,Аптека №25 ФармОстров
node,4491078995,Аптека №26,,Аптека №26
node,5825611738,Аптека №29,,Аптека №29
node,8693440780,Аптека №3 ФармОстров,,Аптека №3 ФармОстров
node,1123273177,Аптека №4 Юнимед,,Аптека №4 Юнимед
node,2609092999,Аптека №4/3,,Аптека №4/3
node,3950052613,Аптека №41,,Аптека №41
way,453799799,Аптека №66,,Аптека №66
node,305685015,Аптека №67,,Аптека №67
node,4701916486,Аптека №67 (филиал 2),,Аптека №67 (филиал 2)
node,3816095849,Аптека №67 (филиал 3),,Аптека №67 (филиал 3)
way,131591759,Аптека №69,,Аптека №69
node,7716411128,Аптека №69 Добрыя лекі,,Аптека №69 Добрыя лекі
node,3237885861,Аптека №7 (филиал 3),,Аптека №7 (филиал 3)
node,4701916485,Аптека №7 (филиал 4),,Аптека №7 (филиал 4)
node,6650950040,Аптека №7 ФармОстров,,Аптека №7 ФармОстров
node,5301252109,Аптека №74 четвёртой категории,,Аптека №74 четвёртой категории
node,6358066487,Аптека №76,,Аптека №76
way,492677980,Аптека №76,,Аптека №76
node,280815410,Аптека №80,,Аптека №80
node,3830263221,Аптека №89,,Аптека №89
way,431943545,Аптека №97,,Аптека №97
node,4451704715,Аптекаръ,,Аптекаръ
node,7389186549,Аптекарь,,Аптекарь
