osm_type,osm_id,name,name:be,name:ru
node,9848229717,«Дружба»,,«Дружба»
node,5821688576,Башмак,,Башмак
node,10973590937,Вверх,,Вверх
node,11008632685,Динозавр,,Динозавр
node,10574767841,Заводной пёс,,Заводной пёс
node,10286992699,Любовник,,Любовник
node,10973590936,Меняем свет,,Меняем свет
node,8540411879,Миру — мир,,Миру — мир
node,10310841705,Молодожёны,,Молодожёны
node,7046944246,"Не спи, создавай, твори!",,"Не спи, создавай, твори!"
node,10977346495,ПМК-8,,ПМК-8
node,10574767941,Профиль взгляда,,Профиль взгляда
node,6483321076,Птицы из крышечек,,Птицы из крышечек
node,10254702159,Фонарщик,,Фонарщик
