osm_type,osm_id,name,name:be,name:ru
node,7372804259,"33-я студенческая поликлиника, отделение ""Студенческая деревня""",,
node,5065981894,4 отделение 33 поликлиники,,
way,237589210,Александрийская врачебная амбулатория,,
way,241790915,Антопольская городская поликлиника,,
node,773500103,БЕЛСОНО,,
node,5852083686,БЕЛСОНО,,
way,241248839,Ветковская районная поликлиника,,
node,2621900159,Взрослая поликлиника,,
node,9937593684,Городеченский ФАП,,
way,204783711,Городская поликлиника №4,,
node,3223040403,"Городская поликлинника филиал ""Южный""",,
way,47009240,Городская центральная поликлиника №1,,
node,10024731051,Гродненская университетская клиника,,
node,4995583217,Деречинская врачебная амбулатория,,
node,4355016393,Детская клиническая поликлиника,,
node,4563151788,"Детская поликлиника 2(филиал, педиатры)",,
way,152181374,"Детская поликлиника, Женская консультация",,
node,7101172987,Детская/Взрослая поликлиника,,
node,4211241291,Детский доктор,,
node,9962448333,Детский медицинский центр Киндермед,,
way,205443854,Диспансер Спортивной Медицины,,
way,234158941,Дневной станционар,,
way,230125843,Довская поликлиника,,
node,4300256435,Доктор Витум,,
node,4844594323,Достоевская врачебная амбулатория,,
way,915397253,Евромедика,,
node,1028015131,Ждановичская Амбулатория,,
node,9483622785,Женская консультация №27,,
way,352224196,Зазерская врачебная амбулатория,,
node,5598446822,Здрава,,
node,9962448332,Золотое Сечение - Мед,,
node,9957612233,Золотое Сечение - Эстетик,,
way,263218503,Иваковская АОП,,
node,9265747750,Исцеление,,
way,301252502,Каменская сельская врачебная амбулатория,,
way,75136040,Климовическая районная поликлиника,,
node,9906608584,Клиника в Уручье,,
node,5359835238,"Клиника женского здоровья ""Ева""",,
way,1078826374,Клинико-биохимическая лаборатория,,
way,185047141,Княжицкая амбулатория общей практики,,
node,4726152700,ЛОР,,
node,5098924146,"ЛПУ ""Городской наркологический диспансер""",,
node,4400006295,Лаборатория Биомедика,,
node,4281126752,Лаборатория диагностики ВИЧ,,
node,5564732324,Ляховичская районная поликлиника,,
way,1079855733,МаМалыш,,
way,1083149707,Магілёўская дзіцячая паліклініка №1,,
way,86765686,Магілёўская паліклініка № 8,,
way,86756446,Магілёўская паліклініка №2,,
node,4702143789,Магілёўскі абласны наркалагічны дыспансер,,
way,77679968,Марьиногорская Городская Поликлиника №1,,
node,4278997024,Медарт,,
node,9700622504,Медицинская лаборатория Синэво,,
node,3676757254,"Медицинский центр ""Фемина""",,
node,7188735885,Медицинский центр 36и6,,
node,8050365646,Медицинский центр BullFinch,,
node,3681354540,Медицинский центр «Женская клиника»,,
node,4210977295,Медицинский центр «Семья и здоровье»,,
node,3106566026,Медлаз,,
node,9943115721,Медстори,,
node,7820112605,"Медцентр ""Сонодин""",,
node,4622384033,Минская Городская Психоневрологическая Специализированная Городская МРЭК,,
node,4622384035,Минская городская специализированная МРЭК № 6,,
node,9100443417,Могилевский областной лечебно-диагнгстический центр,,
way,86760567,Могилёвский областной лечебно-диагностический центр,,
node,4281126751,Наркологическая клиника,,
node,5572086826,Наркологический центр,,
node,6367088286,"ОДО ""Семья и здоровье""",,
node,5028487252,"ООО ""Арт-Мед-Компани""",,
node,6297229285,"ООО ""ПРОФЗДРАВМЕД""",,
node,6367088287,"ООО ""Разум сердца""",,
node,7101164487,Областная поликлиника,,
node,6401768204,Око,,
node,5198347270,Операционно-реанимационный блок,,
node,4130715898,Отделение медицинской реабилитации детская поликлиника №9,,
node,5298360421,Отделение поликлиники № 10,,
node,3084301683,Педиатрическое отделение №5,,
node,4784573704,Пластическая хирургия,,
node,7006713266,Поликлиника (амбулатория),,
node,1055445776,Поликлиника Детская,,
way,25322847,Поликлиника МТЗ-Медсервис,,
way,98784550,Поликлиника Поставской ЦРБ,,
way,265408855,Поликлинника № 2,,
way,1078820357,Психоневрологический диспансер,,
way,25394474,Районная поликлиника №25,,
way,399165125,Реабилитационный центр для детей инвалидов,,
way,25321400,Республиканский центр медицинской реабилитации и бальнеолечения,,
way,157012282,Россонская поликлиника,,
node,6323332086,Седьмое небо медицинский центр,,
way,241904769,Сновская амбулатория,,
way,25325253,Стоматологическая поликлиника №11,,
way,256833213,Стреличевский ФАП,,
node,3203253561,Террамедика,,
way,378316417,Узмёнский ФАП,,
way,213059826,ФАП 3,,
node,6616251085,Фельдшерский пункт,,
way,383474460,Фельшерско-акушерский пункт,,
node,9939531990,"Филиал ""Межрайонный кожно-венерологический диспансер""",,
node,9970507614,"Филиал ""Наркологический диспансер""",,
node,3763032957,Филиал № 7 ГУЗ «Гомельская центральная городская поликлиника»,,
way,75379096,Филиал №1 ГУЗ Гомельская городская поликлиника №1,,
way,80235752,"Центр гигиены, эпидемиологии и общественного здоровья",,
node,5081329249,Центр здорового сна,,
node,5633511269,Центр лазерной медицины Балтер,,
way,210212601,Чериковская центральная районная поликлиника,,
way,1068924266,Чудинская амбулатория,,
node,5365504062,ЭКО Центр репродуктивной медицины,,
node,7523505416,Эндоскопический диагностический центр Партизанского района,,
node,4449739557,амбулатория,,
way,204207742,поликлиника № 7,,
node,4601990289,фап 12 и 26,,
