osm_type,osm_id,name,name:be,name:ru
way,586957107,Аллея Элизы Ожешко,,
way,1082322005,Борисова гора,,
way,1080494352,Бригитпольский пляж,,
node,5358919026,Вековая сосна,,
node,9891088064,Велят-камень,,
way,1082322409,Дречелукские обнажения,,
node,9530336825,Дуб,,
node,5819014143,Замковая гора,,
way,1084426982,Казечыха,,
node,9943613828,Каменный комплекс «Каменка–1»  1848 г,,
node,9942762359,Каменный комплекс «Каменка–2»  1848 г,,
way,1087044264,Купнікі,,
node,9916803798,МТК Шерешево,,
way,233929508,Петропавловский сквер,,
way,1085962962,"Пляж ""Островной""",,
way,1054064129,"Пляж № 3 ""Козляковичи""",,
node,9939531748,Рябина,,
node,9988974820,Сросшиеся буки,,
relation,14402694,Станы,,
relation,7474311,"Усадебный парк ""Сигневичи""",,
node,9939531779,Яблоко,,
