osm_type,osm_id,name,name:be,name:ru
node,6332560734,OOO Белфольгснабимпорт,ТАА Белфольгснабімпарт,ООО Белфольгснабимпорт
node,3268827173,БелНефтеСтраx,БелНафтаСтрах,БелНефтеСтрах
node,1695377551,Белгосстраx,Белдзяржстрах,Белгосстрах
node,3268872809,Белгосстраx,Белдзяржстрах,Белгосстрах
node,4162995418,Візавы сэрвіc цэнтр,Візавы сэрвіс цэнтр,Визовый сервис центр
node,2629231472,Гродненское агентство по оказанию риэлтерских услуг,Гродзенскае агенцтва па аказанні рыэлтарскіх паслуг,Государственное агентство недвижимости
node,5279594024,Компания MAV,"ПУП ""МАВ""","ЧУП ""МАВ"""
node,6547167582,НАʼСВЯЗИ,НАʼСУВЯЗІ,НА'СВЯЗИ
node,7171781749,ООО Данвел-групп,ТАА Данвел-груп,OOO Данвел-групп
node,6088047876,Региональная газета «Інфа-Курʼер»,Рэгіянальная газета «Інфа-Курʼер»,Региональная газета «Інфа-Кур'ер»
