osm_type,osm_id,name,name:be,name:ru
way,648740926,А-100 № 38,,
node,4332990044,А-100 № 40,,
way,628775640,А100,,
way,628775646,А100,,
node,4504313011,АГЗС (LPG),,
way,1367621134,АЗС СПК Федорскі,,
node,13082249941,АЗС № 89,,
way,834663312,Белоруснеть,,
node,6807996267,Белоруснефть,,
node,6857015645,Белоруснефть,,
node,6898787506,Белоруснефть,,
node,6944262629,Белоруснефть,,
way,235716316,Белоруснефть,,
way,549737285,Белоруснефть АЗС 81,,
way,1441681723,Белоруснефть АЗС № 66,,
way,394683406,Белоруснефть АЗС № 71,,
way,404854087,Белоруснефть АЗС № 87,,
way,731979470,Белоруснефть АЗС №58,,
way,731979471,Белоруснефть МАЗС 41,,
way,490926926,Белоруснефть МАЗС № 40,,
node,4305592871,Белоруснефть № 39,,
node,12819281367,Белоруснефть № 4,,
node,12844808426,Белоруснефть № 48,,
node,12318882509,Белоруснефть № 5,,
node,12408214035,Белоруснефть № 74,,
node,12819543449,Белоруснефть № 90(2),,
node,12373617839,Газ,,
node,11036103505,Заправка Беларуснефть/Wi-Fi/Еда/WC,,
way,834663326,Ьелоруснефть,,
