osm_type,osm_id,name,name:be,name:ru
node,4159752289,БелНИИДАД / BelNIIDAD,,БелНИИДАД
node,4960183721,Белорусская торгово-промышленная палата,,Торгово-промышленная палата
node,4706148289,"ГУЗ ""ПОДСТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ № - 3""",,"ГУЗ ""ПОДСТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ № 3"""
node,4621743391,"ГУО ""ГОМЕЛЬСКИЙ РАЙОННЫЙ СОЦИАЛЬНО - ПЕДАГОГИЧЕСКИЙ ЦЕНТР"" (СПЦ)",,"""ГОМЕЛЬСКИЙ РАЙОННЫЙ СОЦИАЛЬНО - ПЕДАГОГИЧЕСКИЙ ЦЕНТР"" (СПЦ)"
node,4621843089,"ГУО ""УЛУКОВСКИЙ ЯСЛИ - САД""",,"""УЛУКОВСКИЙ ЯСЛИ - САД"""
node,5101674007,Галоўнае гаспадарчае ўпраўленне,,Главное хозяйственное управление
node,5694578870,Государственный комитет по имуществу Республики Белаурсь,,Гокомимущество
node,5568599038,Дорожно-строительное управление №64,,Белавтодор
node,4819830622,"КУП ""Жилищное ремонтно-эксплуатационное управление Ленинского района г. Бобруйска""",,"КУП ""Жилищное ремонтно-эксплуатационное управление Ленинского района г. Бобруйска"
way,25388780,Отдел Записи актов гражданского состояния аминистрации Октябрьского района,,ЗАГС
node,6641235285,Отдел образования Светлогорского района,,"Отдел образования, спорта и туризма Светлогорского района"
node,7784966385,Отдел спорта и туризма,,Отдел спорта и туризма Полоцкого райисполкома
node,4631050989,РАЙЖИЛКОМХОЗ,,ЖКХ
node,4361236489,СМУ Промтехмонтаж ОАО,,"Филиал СМУ ОАО ""ПРОМТЕХМОНТАЖ"""
node,8038995387,Упраўленне дарожна-маставога будаўніцтва і добраўпарадкавання мингарвыканкама,,Управление дорожно-мостового строительства и благоустройства мингорисполкома
node,4790578024,Экспертно-криминалистический сектор по Дзержинскому району ГКСЭ РБ,,Дзержинский экспертный сектор ГКСЭ РБ
node,4742906122,диспетчерская ДРСУ193,,Общежитие ДРСУ#193
