osm_type,osm_id,name,name:be,name:ru
node,5801828653,ГРЦ Ж-Д,,ГРЦ Ж-Д
node,4923375721,"ДОЛ ""ДРУЖБА""",,"ДОЛ ""ДРУЖБА"""
node,4646421991,"ДОЛ ""Дружба""",,"ДОЛ ""Дружба"""
node,4646423591,"ДОЛ ""Дружба""",,"ДОЛ ""Дружба"""
node,4714048690,"ДОЛ ""Дружба""",,"ДОЛ ""Дружба"""
node,4872583521,"ДОЛ ""Дружба""",,"ДОЛ ""Дружба"""
node,5627077722,Жлобинский МО УДФР КГК РБ по Гомельской области,,Жлобинский МО УДФР КГК РБ по Гомельской области
node,4775071221,"Контрольно-пропускной пункт ""МОФ""",,"Контрольно-пропускной пункт ""МОФ"""
node,4777149622,"ООО ""Бойярд"" (склад) мебельная фурнитура",,"ООО ""Бойярд"" (склад) мебельная фурнитура"
node,5171864127,Отдел ОМТС,,Отдел ОМТС
way,346333806,Правл. СПК,,Правл. СПК
node,6163223485,"УММДЛ РУП ""Белдорцентр""",,"УММДЛ РУП ""Белдорцентр"""
