osm_type,osm_id,name,name:be,name:ru
node,4691760990,4 административное здание МО,,4 административное здание МО
node,5801828653,ГРЦ Ж-Д,,ГРЦ Ж-Д
node,4382421596,Главное управление кадров МО РБ 2 корпус,,Главное управление кадров МО РБ 2 корпус
node,4923375721,"ДОЛ ""ДРУЖБА""",,"ДОЛ ""ДРУЖБА"""
node,4646421991,"ДОЛ ""Дружба""",,"ДОЛ ""Дружба"""
node,4646423591,"ДОЛ ""Дружба""",,"ДОЛ ""Дружба"""
node,4714048690,"ДОЛ ""Дружба""",,"ДОЛ ""Дружба"""
node,4872583521,"ДОЛ ""Дружба""",,"ДОЛ ""Дружба"""
node,5627077722,Жлобинский МО УДФР КГК РБ по Гомельской области,,Жлобинский МО УДФР КГК РБ по Гомельской области
node,4775071221,"Контрольно-пропускной пункт ""МОФ""",,"Контрольно-пропускной пункт ""МОФ"""
node,4777149622,"ООО ""Бойярд"" (склад) мебельная фурнитура",,"ООО ""Бойярд"" (склад) мебельная фурнитура"
node,5171864127,Отдел ОМТС,,Отдел ОМТС
way,346333806,Правл. СПК,,Правл. СПК
way,239876186,РУТТ РУП ПО Белоруснефть Тракторный цех,,РУТТ РУП ПО Белоруснефть Тракторный цех
node,7772760312,Ср-18,,Ср-18
node,8836603222,Ср-24,,Ср-24
node,8937793717,Ср-25,,Ср-25
node,7772760389,Ср-3,,Ср-3
node,7772757412,Ср-36,,Ср-36
node,7772760090,Ср-38,,Ср-38
node,7772760396,Ср-39,,Ср-39
node,9148162917,Ср-45,,Ср-45
node,9148162918,Ср-46,,Ср-46
node,6163223485,"УММДЛ РУП ""Белдорцентр""",,"УММДЛ РУП ""Белдорцентр"""
node,4120351889,УПК РУП «ПО «Белоруснефть»,,УПК РУП «ПО «Белоруснефть»
