osm_type,osm_id,name,name:be,name:ru
way,460956882,"База ОАО""ОРС Гомель""",,"База ОАО""ОРС Гомель"""
way,1136942359,"Гелиоэнергетическая установка ""Пламя""",,"Гелиоэнергетическая установка ""Пламя"""
way,1290293422,Гумновское лесничество,,Гумновское лесничество
way,1237514675,Зерносушильный комплекс,,Зерносушильный комплекс
way,649532208,Котельная,,Котельная
way,435254871,Лесопилка,,Лесопилка
way,777934057,Мехдвор,,Мехдвор
way,1232229533,Прошковское лесничество,,Прошковское лесничество
way,1234003795,Терешкинское лесничество,,Терешкинское лесничество
way,1252125396,Хлебопекарня,,Хлебопекарня
