osm_type,osm_id,name,name:be,name:ru
node,11422567269,А.К.Серов,А.К.Сераў,
node,11465784670,Аллея памяти о жертвах Чернобыльской катастрофы,Алея памяці аб ахвярах Чарнобыльскай катастрофы,
node,11422532569,Асаналиев Д.,Асаналіеў Д.,
node,4922800668,Афган - наша память. Афган - наша боль,Афган - наша памяць. Афган - наш боль,
node,11533765569,"Застройка ул. Крылова, XIX в.","Забудова вул. Крылова, XIX стагоддзе",
node,12054571519,Здесь захоронены 2500 солдат 1914-1918,Брацкая магіла жаўнераў І Сусветнае вайны,
node,7449534891,И.П.Казинец,І.П.Казінец,
way,1271309397,Курганный могильник 11-12 веков,Курганны могільнік 11-12 ст.,
node,11533539269,Мемориал ВОВ,Мемарыял ВОВ,
node,11422553169,Н.И.Пирагов,М.І.Пірагоў,
node,11465795969,Памятный камень,Памятны камень,
node,11065635347,Панскія могілкі Хацінскіх (Haciski),Панскія могілкі Хацінскіх,
node,11449864669,Парк имени Янки Купалы 1949-1950 г.г .,Парк імя Янкі Купалы 1949-1950 г.г.,
node,11221223421,Руіны сядзібы Петрозоліных (Petrozolin),Руіны сядзібы Петрозоліных,
node,11533764569,С.Н.Крылов,С.Н.Крылоў,
node,11533755269,Сквер имени Маяковского,Сквер імя Маякоўскага,
node,11533768369,Товарищество витебских водопроводов,Таварыства віцебскіх водаправодаў,
node,11449179269,Ф.А.Стебнев,Ф.А.Сцябнёў,
node,12231659931,деревня Муроги (не сохранилась),вёска Мурагі (не захавалася),
