osm_type,osm_id,name,name:be,name:ru
way,1295714196,Алімп,,
way,628255741,Баня,,
node,11916259207,Баня аг. Охово,,
node,11694335504,Баня на дровах Родник,,
node,11513591172,Баня у Петровича,,
node,12009385691,Баня у Петровича,,
way,1266619837,Баскетбольная площадка,,
node,4423177593,Батутная арена «Мистерия»,,
node,11076875870,Батутный центр Hero Park,,
node,6133350323,Белорусская республиканская коллегия адвокатов,,
node,10287015411,Бильярдный клуб DIAMOND,,
way,1266619838,Волейбольная площадка,,
node,4519211291,Вулкан,,
way,564182417,"Гостевой дом ""Белое озеро""",,
node,11972178070,Гранне,,
node,12022888342,Дерт,,
node,12022913061,Дерт Медвежино,,
node,11645591474,Зал гимнастики,,
node,11991577312,"Конно-спортивный клуб ""Белая Русь""",,
node,11991577313,"Конный клуб ""Пегас""",,
way,1282946276,Место пристрелки оружия,,
node,11872379718,Место швартовки,,
node,11649726458,Мишка Тедди,,
node,11867188871,"ООО ""Дзик""",,
way,1246443760,"Оздоровительный лагерь ""Туросполье""",,
node,11874380212,Осминожка,,
way,1186175553,"Парк-отель ""Жемчужный""",,
way,563936814,"Пионерский лагерь ""Спутник""",,
way,1230688216,Площадка для петанка,,
node,11693623175,Пляцоўка,,
way,243640713,Свислочский районный физкультурно-спортивный клуб,,
node,11672571969,Скейт парк Magister,,
node,11728666050,Спортплощадка,,
way,265940003,Стадион,,
way,155762392,Стадион СШ #2,,
node,11409756095,Студия искусств,,
node,11778197644,Студия фитнеса,,
node,11422452762,Стэп&К,,
node,11748223620,Тафи,,
node,12022888356,Трасса Медвежино (XCO),,
way,1120971950,Тренажеры,,
way,1263183144,Футбольное поле,,
node,11750689360,Футбольный манеж,,
way,886934183,Центр Олимпийского Резерва по Конному Спорту,,
node,11449306827,"Школа тенниса ""Золотой мяч""",,
way,1238899567,Школьный стадион,,
node,11724985706,Штурм,,
