osm_type,osm_id,name,name:be,name:ru
node,11042422697,Адреналин,Адрэналін,Адреналин
node,11539168069,Адреналин,Адрэналін,Адреналин
node,4295680080,Академия,Акадэмія,Академия
way,893654168,Аквацентр Неон,Аквацэнтр Неон,Аквацентр Неон
node,2582377534,Баня,Лазня,Баня
node,4375248391,Баня,Лазня,Баня
way,479678834,Баня,Лазня,Баня
way,1165450623,Баня,Лазня,Баня
way,1217779286,Баня на Дровах,Лазня на Дровах,Баня на Дровах
node,7414919056,Белагроздравница,Белаграўздраўніца,Белагроздравница
node,11277872028,Горизонт,Гарызонт,Горизонт
way,421088732,Гребная база,База веславання,Гребная база
node,12419749369,Детская площадка,Дзіцячая пляцоўка,Детская площадка
node,11961763882,Детский лагерь,Дзіцячы лагер,Детский лагерь
way,561077883,Игровой центр,Гульнявы ​​цэнтр,Игровой центр
node,4742613130,Йож,Ёж,Йож
way,277508757,Кайман,ан,Кайман
way,1294940844,Клуб активного отдыха Барс,Клуб актыўнага адпачынку Барс,Клуб активного отдыха Барс
way,422463125,Конно-спортивный клуб «ДеВаис»,КСК «ДэВаіс»,Конно-спортивный клуб «ДеВаис»
node,4737976222,КосмосФит,КосмасФіт,КосмосФит
node,11809691550,КосмосФит,КосмасФіт,КосмосФит
node,11809691551,КосмосФит,КосмасФіт,КосмосФит
node,11809691552,КосмосФит,КосмасФіт,КосмосФит
node,3508968771,Лагерь «Acting Camp»,Лагер «Acting Camp»,Лагерь «Acting Camp»
node,6691138545,Лагерь «Acting Camp»,Лагер «Acting Camp»,Лагерь «Acting Camp»
node,12038483727,Лагерь «Лето в городе»,Лагер «Лета ў горадзе»,Лагерь «Лето в городе»
way,29125813,Лазурный,Блакітны,Лазурный
node,8556326506,Ледовый каток,Лядовы каток,Ледовый каток
node,11675792451,Мегаполис,Мегаполіс,Мегаполис
way,1230675759,Место выгула собак,Месца выгулу сабак,Место выгула собак
way,683898798,Налибокская пуща,Налібоцкая пушча,Налибокская пуща
way,635387142,"Оздоровительный лагерь ""Беларусь""","Аздараўленчы лагер ""Беларусь""","Оздоровительный лагерь ""Беларусь"""
node,11069408077,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069408078,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069408079,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069408080,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069408081,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069408082,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069408083,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069633959,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069633960,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069633961,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069633962,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069633963,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069633964,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069633965,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069633966,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069633967,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069633968,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069633969,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069636314,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069636316,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069636317,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069636318,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069636319,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069636320,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069636321,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069636322,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069636323,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069636324,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069636325,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069636326,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069636327,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069636328,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069636329,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069636330,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069636331,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069636332,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069636333,Принцесса спорта,Прынцэса спорту,Принцесса спорта
node,11069636334,Принцесса спорта,Прынцэса спорту,Принцесса спорта
