osm_type,osm_id,name,name:be,name:ru
relation,3555263,Akmenīca / Акмяніца,Акмяніца,Окменица
relation,8153233,Asūnīca / Асуніца,Асуніца,Асуница
relation,3765079,Balbata / Нізянка,Нізянка,Низянка
relation,8863991,Berjozovka / Бярозаўка,Бярозаўка,Березовка
relation,9196407,Beržūna / Бярэзіна,Бярэзіна,Березина
relation,8863988,Bienė / Бенка,Бенка,Бенка
relation,8114508,Birvėta / Бірвета,Бірвета,Бирвета
relation,11963948,Bražylė / Бражолка,Бражолка,Бражолка
relation,332594,Czarna Hańcza / Juodoji Ančia / Чорная Ганча,Чорная Ганча,Чёрная Ганча
relation,3240235,Ditva / Дзітва,Дзітва,Дитва
relation,8588973,Dumblė / Думбля,Думбля,Думбля
relation,6649335,Dysna / Дзісна,Дзісна,Дисна
relation,3240256,Gauja / Гаўя,Гаўя,Гавья
relation,8523388,Hwoźna / Гвозна,Гвозна,Гвозна
relation,9191950,Istoczanka - Істачанка,Істачанка,Источанка
relation,8523431,Kamoja / Камайка,Камайка,Камайка
relation,3404065,Kanał Augustowski / Аўгустоўскі канал,Аўгустоўскі канал,Августовский канал
relation,6232893,Kleva / Клява,Клява,Клева
relation,9193482,Kubilnyčia / Кубільніца,Кубільніца,Кубильница
relation,8542766,Leśna Prawa / Лясная Правая,Лясная Правая,Лесная Правая
relation,3419502,Marycha / Seina / Марыха,Марыха,Марыха
relation,12417545,Melnupīte / Чорны ручай,Чорны ручай,Чёрный ручей
relation,8411603,Merkys / Мерачанка,Мерачанка,Мяркис
relation,7152108,Narewka / Нараўка,Нараўка,Наревка
relation,2824450,Neris / Вілія,Вілія,Вилия
relation,12417429,Netīrā upīte / Брудны ручай,Брудны ручай,Брудный ручей
relation,8415654,Nietupa / Нятупа,Нятупа,Нетупа
relation,8548306,Policzna / Палічна,Палічна,Полична
relation,8586245,Raukėta / Раўкета,Раўкета,Равкета
relation,8862905,Rosica / Росіца,Росіца,Росица
relation,9495144,Rosicas strauts / ручай Росіца,ручай Росіца,ручей Росица
relation,12417428,Stavupe / ручай Стаў,ручай Стаў,ручей Став
relation,8368685,Strūna / Струна,Струна,Струна
relation,9209572,Svyla / Свіла,Свіла,Свила
relation,19249643,Tovša / Тоўша,Тоўша,Товша
relation,9350448,Verseka / Гарнастайка,Гарнастайка,Горностайка
relation,9190306,Viļeika / Вілейка,Вілейка,Вилейка
relation,8534004,Zilupe / Сінюха / Синяя,Сінюха,Синюха
relation,6462794,Šalčia / Солча,Солча,Шальчя
relation,12662470,Ščerba / Шчырба,Шчырба,Щирба
relation,8548190,Балошынка / Baluoša,Балошынка,Болошинка
relation,9483069,Болотниця / Балотніца,Балотніца,Болотница
relation,9350454,Брадзец / Brodziec,Брадзец,Бродзец
relation,4173643,Ваўкушанка / Wołkuszanka,Ваўкушанка,Волкушанка
relation,8870304,Вержа / Verža,Вержа,Вержа
relation,549362,Дзвіна / Daugava / Западная Двина,Дзвіна,Западная Двина
relation,7200715,Жалонь / Жолонь,Жалонь,Желонь
relation,8863995,Жалібниця / Жалобніца,Жалобніца,Жалобница
relation,8377390,Жыжма / Žižma,Жыжма,Жижма
relation,8550806,Копаївка / Капаюўка,Капаюўка,Копаювка
relation,282218,Котра / Katra,Котра,Котра
relation,9350447,Кусенка / Kusenka,Кусенка,Кусенка
relation,1060386,Ласасянка / Łosośna,Ласасянка,Лососянка
relation,8550931,Лохніца / Лохниця,Лохніца,Лохница
relation,8523607,Нача / Nočia,Нача,Начка
relation,8549038,Няверыца - Неверица,Няверыца,Неверица
relation,189775,Нёман / Неман / Nemunas,Нёман,Неман
relation,8415392,Одла / Odła,Одла,Одла
relation,9350457,Пеляса / Pelesa,Пеляса,Пеляса
relation,8541420,Плотніца / Плотниця,Плотніца,Плотница
relation,8589074,Пульва / Pulwa,Пульва,Пульва
relation,8602919,Пурʼе / Purvė,Пурʼе,Пурье
relation,19673979,Пярстунка / Perstunka,Пярстунка,Перстунка
relation,8067168,Сарʼянка / Sarjanka,Сарʼянка,Сарьянка
relation,8550930,Свідовец / Свидівка,Свідовец,Свидовец
relation,182084,Свіслач / Świsłocz,Свіслач,Свислочь
relation,8542933,Сольчыца / Šalčykščia,Сольчыца,Сольчица
relation,8415607,Уснарка / Usnarka,Уснарка,Уснарка
relation,8889497,Цецява / Тетива,Цецява,Тетева
relation,3404067,Шляміца / Szlamica,Шляміца,Шлямица
relation,7774379,Ясенец - Ясенець,Ясенец,Ясенец
relation,9253535,канал Дзегцяроўка / канал Дегтярёвка,канал Дзегцяроўка,канал Дегтярёвка
