osm_type,osm_id,name,name:be,name:ru
way,242067133,Здитовское кладбище,,Здитовское кладбище
way,177179715,Кладбище Корсачизна,,Кладбище Корсачизна
way,410609964,Кладбище д.Берёзно,,Кладбище д.Берёзно
way,863070477,Кладбище д.Блошники,,Кладбище д.Блошники
way,1231925721,Кладбище д.Папоротно,,Кладбище д.Папоротно
way,1233876230,Кладбище д.Пустоселье,,Кладбище д.Пустоселье
way,1055575363,Кладбище д.Свило-1,,Кладбище д.Свило-1
way,1233854570,Кладбище д.Слобода,,Кладбище д.Слобода
way,1233841882,Кладбище д.Юхновка,,Кладбище д.Юхновка
node,11067019178,Приход Храма Преподобного Паисия Святогорца,,Приход Храма Преподобного Паисия Святогорца
way,383591860,Путь Жизни,,Путь Жизни
node,946695048,Согласие во Христе,,Согласие во Христе
way,29480463,Согласие во Христе,,Согласие во Христе
way,1178531818,Храм иконы Божией Матери Спорительница хлебов,,Храм иконы Божией Матери Спорительница хлебов
way,183315269,Храм-часовня в честь «Ченстоховской» иконы Божией Матери,,Храм-часовня в честь «Ченстоховской» иконы Божией Матери
node,11025863010,Церковь Благодати Господней,,Церковь Благодати Господней
way,1230096255,Церковь христиан веры евангельской,,Церковь христиан веры евангельской
