osm_type,osm_id,name,name:be,name:ru
node,11765550707,1Б,,
relation,21215914,Альпы,,
node,12826107348,Бохоново,,
node,13469989604,Волька Жировицкая,,
node,13094004181,Восток 1,,
node,13094004182,Восток 2,,
way,1522810570,Вішнёвы квартал,,
relation,21215915,Гималаи,,
node,13852798393,Глубокое,,
node,14100947202,Дедин,,
way,1310990690,Дружба,,
way,1459312024,Дружба,,
node,13852798394,Еловики,,
node,13123631068,Завишин,,
node,14061950983,Загребля,,
node,12010224708,Замасты,,
node,13094004179,Занеманск,,
node,13094004176,Занеманский,,
node,12826107347,Заречье,,
node,13094004175,Зельвяны,,
way,1522810571,Калейдаскоп,,
relation,21215918,Карпаты,,
relation,21215916,Крымский,,
node,13705509710,Кудерка,,
node,13852798388,Курлянчики,,
node,13852798385,Луки,,
way,1155694707,Льнозавод,,
node,13999430183,"М-1, 376-й километр",,
node,12066277598,МСО,,
node,13446791836,Малое Село,,
node,14061950984,Манголиново,,
node,14029195475,Мисники,,
node,14076139531,Михайловка,,
relation,21215917,Памир,,
node,11141013147,Песчанка,,
relation,21215920,Пиренеи,,
way,1135550223,Плац,,
way,1412831507,Плац,,
way,1308419841,Плошча Арджанікідзэ,,
way,1089080119,Площадь Ленина,,
way,1539955519,Площадь Павших Бойцов,,
node,13094004178,Подворна,,
node,13905263789,Подмажье,,
node,13852798392,Попловец,,
way,1522810569,Рабінавы квартал,,
way,1313264714,Рынек,,
node,12066291125,СХТ,,
node,13821749960,Судобовка,,
way,1308419677,Тэатральная плошча,,
relation,21215919,Тянь-Шань,,
relation,21215913,Уральский,,
node,14076139530,Федоровка,,
node,14061950985,Царское село,,
node,13094004183,Южный,,
node,12293551648,Юстикова гора,,
way,1522810572,Язмінавы квартал,,
