osm_type,osm_id,name,name:be,name:ru
way,243964173,Высоковский городской исполнительный комитет,,Высоковский городской исполнительный комитет
node,12859466841,Главное управление Министерства финансов по Гомельской области,,Главное управление Министерства финансов по Гомельской области
node,12834869630,Главное управление культуры Гомельского облисполкома,,Главное управление культуры Гомельского облисполкома
node,12822727551,Гомельское агенство по государственной регистрации и земельному кадастру,,Гомельское агенство по государственной регистрации и земельному кадастру
node,12822727552,Гомельское областное управление по надзору за рациональным использованием топливно-энергетических ресурсов,,Гомельское областное управление по надзору за рациональным использованием топливно-энергетических ресурсов
node,12753030953,Одно окно,,Одно окно
node,12859466842,Отдел государственной экологической экспертизы по гомельской области,,Отдел государственной экологической экспертизы по гомельской области
node,12813091246,Отдел общественного здоровья,,Отдел общественного здоровья
node,12172597219,Прокуратура Гродненской Области,,Прокуратура Гродненской Области
node,12012462569,Расчетно-сервисный центр,,Расчетно-сервисный центр
way,87012155,Управление департамента финансовых расследований КГК,,Управление департамента финансовых расследований КГК
way,131908286,Управление по гражданству и миграции УВД Гомельского облисполкома,,Управление по гражданству и миграции УВД Гомельского облисполкома
node,12791329982,"Филиал по Железнодорожному району ГУ""Гомельский городской центр по обеспечению деятельности бюджетных организаций в сфере образования""",,"Филиал по Железнодорожному району ГУ""Гомельский городской центр по обеспечению деятельности бюджетных организаций в сфере образования"""
node,12834030470,Финансовое управление Гомельского городского исполкома,,Финансовое управление Гомельского городского исполкома
node,12912817508,Центр безопасности жизнедеятельности и взаимодействия с общественностью,,Центр безопасности жизнедеятельности и взаимодействия с общественностью
node,12834869528,Центральный районный отдел г.Гомеля Гомельского областного управления Фонда социальной защиты населения,,Центральный районный отдел г.Гомеля Гомельского областного управления Фонда социальной защиты населения
