osm_type,osm_id,name,name:be,name:ru
node,9817975332,Белвторчермет,,
node,10031172092,Брестлифт,,
way,767698905,Великоритское лесничество,,
way,293511299,Видомлянский сельский Совет,,
node,10033134164,ГУКДСП «Быховская ПМК № 247»,,
way,29164346,ЖДПП (Железнодорожный пункт пропуска),,
way,137534609,ЗАГС,,
node,10050997654,"КУМПП ""Пинское районное ЖКХ""",,
node,9779378779,ОАО Школьник,,
node,9977144102,Оснежицкий сельский исполнительный комитет,,
node,9977144103,Оснежицкий сельский совет депутатов,,
node,10001010531,Отдел по рассмотрению обращений граждан Центрального аппарата Следственного комитета,,
way,245748965,Открытое акционерное общество  «Володарский»,,
node,9939531901,Пинский лесхоз,,
way,238986091,Прокуратура,,
node,10001010529,Районный отдел Следственного комитета по Ленинскому району г. Минска,,
node,10001010530,Управление Следственного комитета по г. Минску,,
way,248610512,Центр гигиены и эпидемиологии,,
node,9885044057,Центр занятости и социальной защиты Пинска,,
