osm_type,osm_id,name,name:be,name:ru
relation,3555263,Akmenīca / Акмяніца,Акмяніца,Окменица
relation,8153233,Asūnīca / Асуніца,Асуніца,Асуница
relation,3765079,Balbata / Нізянка,Нізянка,Низянка
relation,8863991,Berjozovka / Бярозаўка,Бярозаўка,Березовка
relation,9196407,Beržūna / Бярэзіна,Бярэзіна,Березина
relation,8863988,Bienė / Бенка,Бенка,Бенка
relation,8114508,Birvėta / Бірвета,Бірвета,Бирвета
way,30046526,Bug / Заходні Буг,Заходні Буг,Западный Буг
way,30046527,Bug / Заходні Буг,Заходні Буг,Западный Буг
way,30046530,Bug / Заходні Буг,Заходні Буг,Западный Буг
way,30046531,Bug / Заходні Буг,Заходні Буг,Западный Буг
way,30046534,Bug / Заходні Буг,Заходні Буг,Западный Буг
way,265977101,Bug / Заходні Буг,Заходні Буг,Западный Буг
way,614087789,Bug / Заходні Буг,Заходні Буг,Западный Буг
way,614087819,Bug / Заходні Буг,Заходні Буг,Западный Буг
way,609676118,Czarna Hańcza / Чёрная Ганьча,Чорная Ганча,Чёрная Ганьча
relation,3240235,Ditva / Дзітва,Дзітва,Дитва
relation,8588973,Dumblė / Думбля,Думбля,Думбля
relation,6649335,Dysna / Дзісна,Дзісна,Дисна
relation,3240256,Gauja / Гаўя,Гаўя,Гавья
relation,8523388,Hwoźna / Гвозна,Гвозна,Гвозна
relation,8523431,Kamoja / Камайка,Камайка,Камайка
relation,6232893,Kleva / Клява,Клява,Клева
way,1002566402,Kołonna/Колонка,Калонка,Колонка
relation,9193482,Kubilnyčia / Кубільніца,Кубільніца,Кубильница
way,663593958,Leśna Prawa / Лесная Правая,Лясная Правая,Лесная Правая
relation,8542766,Leśna Prawa / Лясная Правая,Лясная Правая,Лесная Правая
relation,8411603,Merkys / Мерачанка,Мерачанка,Мяркис
way,602266001,Merkys / Мяркис,Мерачанка,Мяркис
way,917823008,Merkys / Мяркис,Мерачанка,Мяркис
way,917823009,Merkys / Мяркис,Мерачанка,Мяркис
way,666149203,Moļneica / Мальница,Мальніца,Мальница
relation,9397060,Moļneica / Мальніца,Мальніца,Мальница
relation,7152108,Narewka / Нараўка,Нараўка,Наревка
relation,2824450,Neris / Вілія,Вілія,Вилия
relation,8415654,Nietupa / Нятупа,Нятупа,Нетупа
relation,8548306,Policzna / Палічна,Палічна,Полична
relation,8586245,Raukėta / Раўкета,Раўкета,Равкета
relation,8862905,Rosica / Росіца,Росіца,Росица
relation,8368685,Strūna / Струна,Струна,Струна
relation,9209572,Svyla / Свіла,Свіла,Свила
relation,9350448,Verseka / Гарнастайка,Гарнастайка,Горностайка
way,597819095,Zilupe / Синюха,Сінюха,Синюха
relation,8534004,Zilupe / Сінюха / Синяя,Сінюха,Синюха
relation,6462794,Šalčia / Солча,Солча,Шальчя
relation,8548190,Балошынка / Baluoša,Балошынка,Болошинка
relation,9483069,Болотниця / Балотніца,Балотніца,Болотница
relation,9350454,Брадзец / Brodziec,Брадзец,Бродзец
relation,8870304,Вержа / Verža,Вержа,Вержа
way,554946750,Волкушанка / Wołkuszanka,Ваўкушанка,Волкушанка
way,609626985,Волкушанка / Wołkuszanka,Ваўкушанка,Волкушанка
relation,3164596,Гарынь / Горинь,Гарынь,Горынь
way,541623529,Днепр / Дніпро,Дняпро,Днепр
way,541629624,Днепр / Дніпро,Дняпро,Днепр
way,541629645,Днепр / Дніпро,Дняпро,Днепр
relation,7200715,Жалонь / Жолонь,Жалонь,Желонь
relation,8863995,Жалібниця / Жалобніца,Жалобніца,Жалобница
way,610648770,Исса (Копаница),Іса,Исса
relation,9350447,Кусенка / Kusenka,Кусенка,Кусенка
relation,8550931,Лохніца / Лохниця,Лохніца,Лохница
way,868599824,Нараўка,Наревка,Наревка
way,868599825,Нараўка,Наревка,Наревка
relation,189775,Нёман / Неман / Nemunas,Нёман,Неман
relation,8415392,Одла / Odła,Одла,Одла
relation,9350457,Пеляса / Pelesa,Пеляса,Пеляса
relation,8541420,Плотніца / Плотниця,Плотніца,Плотница
way,1050106796,Простырь,Прастир,Простыр
relation,7190105,Прыпяць / Прип’ять,Прыпяць,Припять
way,927177585,Рыта / Рита,Рыта,Рыта
relation,8067168,Сар'янка / Sarjanka,Сар'янка,Сарьянка
relation,8550930,Свідовец / Свидівка,Свідовец,Свидовец
relation,8542933,Сольчыца / Šalčykščia,Сольчыца,Сольчица
way,25174093,Стир,Стыр,Стыр
relation,3174963,Стыр / Стир,Стыр,Стыр
relation,8542617,Сырэц / Сирець,Сырэц,Сырец
relation,8889497,Цецява / Тетива,Цецява,Тетева
way,229728742,Чёрная Ганьча / Czarna Hańcza,Чорная Ганча,Чёрная Ганьча
