osm_type,osm_id,name,name:be,name:ru
node,3650615927,Байковские криницы,,Байковские криницы
node,4063350581,Белково,,Белково
node,272340257,Голубая криница,,Голубая криница
node,9505873775,Диконова,,Диконова
node,8150951212,Езерская криница,,Езерская криница
node,6594230353,Карлова,,Карлова
node,3767387221,Полыковичская криница,,Полыковичская криница
node,9439452116,Реготун,,Реготун
node,8222214178,Рудьё,,Рудьё
node,9041036925,Труд-Аэропорт 1,,Труд-Аэропорт 1
node,9041036926,Труд-Аэропорт 2,,Труд-Аэропорт 2
node,5037213717,У больницы,,У больницы
node,8012790702,Фамильный,,Фамильный
node,7858383194,у Одинокой сосны,,у Одинокой сосны
