osm_type,osm_id,name,name:be,name:ru
relation,12347827,Batoro traktas / тракт Баторыя,тракт Баторыя,тракт Батория
relation,9578076,"Flixbus K319: Praha, ÚAN Florenc => Мінск, аўтавакзал Пасажырскі","Flixbus K319: Прага, КАС Фларэнцыі => Мінск, аўтавакзал Пасажырскі","Flixbus K319: Прага, FloAN Флоренц => Минск, автовокзал Пассажирский"
relation,9579175,"Flixbus K319: Мінск, аўтавакзал Пасажырскі => Praha, ÚAN Florenc","Flixbus K319: Мінск, аўтавакзал Пасажырскі => Прага, FloAN Florenc","Flixbus K319: Минск, автовокзал Пассажирский => Прага, FloAN Флоренц"
relation,10150971,"Flixbus K320: Warszawa, lotnisko Modlin => Мінск, Пасажырскі аўтавакзал","Flixbus K320: Варшава, аэрапорт Модлін => Мінск, Пасажырскі аўтавакзал","Flixbus K320: Варшава, Аэропорт Модлин => Минск, Пассажирский автовокзал"
relation,10150970,"Flixbus K320: Мінск, Пасажырскі аўтавакзал => Warszawa, lotnisko Modlin","Flixbus K320: Мінск, Пасажырскі аўтавакзал => Варшава, аэрапорт Модлін","Flixbus K320: Минск, Пассажирский автовокзал => Варшава, Аэропорт Модлин"
relation,10152385,"Flixbus K322: Gdańsk, dworzec autobusowy => Мінск, Пасажырскі аўтавакзал","Flixbus K322: Гданьск, аўтавакзал => Мінск, Пасажырскі аўтавакзал","Flixbus K322: Гданьск, автовокзал => Минск, Пассажирский автовокзал"
relation,10152384,"Flixbus K322: Мінск, Пасажырскі аўтавакзал => Gdańsk, dworzec autobusowy","Flixbus K322: Мінск, Пасажырскі аўтавакзал => Гданьск, аўтавакзал","Flixbus K322: Минск, Пассажирский автовокзал => Гданьск, автовокзал"
relation,12346115,Juodasis kelias / Чорны тракт,Чорны тракт,Чёрный тракт
relation,7478499,Kena - Маладзечна,Кена Паненская - Маладзечна,Кяна - Молодечно
relation,12430846,Napoleono traktas / Напалеонаўскі тракт,Напалеонаўскі тракт,Наполеоновский тракт
relation,12981785,Гомель - Чернігів,Гомель — Чарнігаў,Гомель - Чернигов
way,896810476,Долина Мухавца,Муховэцка Кумора,Муховэцка Кумора
relation,6754299,Другая кальцавая аўтамабільная дарога вакол горада Мінска,Другая кольцевая автомобильная дорога вокруг города Минска,Вторая кольцевая автомобильная дорога вокруг города Минска
relation,8214264,Дружба,Нафтаправод Дружба,Дружба нефтепровод
relation,12981784,Чернігів - Овруч,Чарнігаў – Оўруч,Чернигов - Овруч
relation,13366053,Шляхам Тызангаўза - Szlakiem Tyzenhauza,Шляхам Тызангаўза,Шляхом Тызенгауза
