osm_type,osm_id,name,name:be,name:ru
relation,12347827,Batoro traktas / тракт Баторыя,тракт Баторыя,тракт Батория
relation,9581031,"Eurolines EU0328: München ZOB => Мінск, аўтавакзал Пасажырскі","Eurolines EU0328: Мюнхен, цэнтральны аўтавакзал => Мінск, аўтавакзал Пасажырскі","Eurolines EU0328: Мюнхен, центральный автовокзал => Минск, автовокзал Пассажирский"
relation,9578076,"Flixbus K319: Praha, ÚAN Florenc => Мінск, аўтавакзал Пасажырскі","Flixbus K319: Прага, КАС Фларэнцыі => Мінск, аўтавакзал Пасажырскі","Flixbus K319: Прага, FloAN Флоренц => Минск, автовокзал Пассажирский"
relation,9579175,"Flixbus K319: Мінск, аўтавакзал Пасажырскі => Praha, ÚAN Florenc","Flixbus K319: Мінск, аўтавакзал Пасажырскі => Прага, FloAN Florenc","Flixbus K319: Минск, автовокзал Пассажирский => Прага, FloAN Флоренц"
relation,10150971,"Flixbus K320: Warszawa, lotnisko Modlin => Мінск, Пасажырскі аўтавакзал","Flixbus K320: Варшава, аэрапорт Модлін => Мінск, Пасажырскі аўтавакзал","Flixbus K320: Варшава, Аэропорт Модлин => Минск, Пассажирский автовокзал"
relation,10150970,"Flixbus K320: Мінск, Пасажырскі аўтавакзал => Warszawa, lotnisko Modlin","Flixbus K320: Мінск, Пасажырскі аўтавакзал => Варшава, аэрапорт Модлін","Flixbus K320: Минск, Пассажирский автовокзал => Варшава, Аэропорт Модлин"
relation,10152385,"Flixbus K322: Gdańsk, dworzec autobusowy => Мінск, Пасажырскі аўтавакзал","Flixbus K322: Гданьск, аўтавакзал => Мінск, Пасажырскі аўтавакзал","Flixbus K322: Гданьск, автовокзал => Минск, Пассажирский автовокзал"
relation,10152384,"Flixbus K322: Мінск, Пасажырскі аўтавакзал => Gdańsk, dworzec autobusowy","Flixbus K322: Мінск, Пасажырскі аўтавакзал => Гданьск, аўтавакзал","Flixbus K322: Минск, Пассажирский автовокзал => Гданьск, автовокзал"
relation,12346115,Juodasis kelias / Чорны тракт,Чорны тракт,Чёрный тракт
relation,7478499,Kena - Маладзечна,Кена Паненская - Маладзечна,Кяна - Молодечно
relation,12430846,Napoleono traktas / Напалеонаўскі тракт,Напалеонаўскі тракт,Наполеоновский тракт
relation,18114378,Аўтобус №121д - Люцынская - ДС Сухарава-5,Аўтобус №121д -Люцынская - ДС Сухарава-5,Автобус №121д - Люцинская - ДС Сухарево-5
relation,18782637,"Аўтобус №171с - Дакутовiч - ДС ""Шабаны""","Аўтобус №171с - Дакутовіч - ДС ""Шабаны""""","Автобус №171c - Докутович - ДС ""Шабаны"""
relation,19551720,Бабровічы – Нікіцінічы,Падʼезд да садаводчага таварыства «Бабровічы ПМК-268» ад аўтамабільнай дарогі Н-11027 Бабровічы – Нікіцінічы,Подъезд к садоводческому товариществу «Бобровичи ПМК-268» от автомобильной дороги Н-11027 Бобровичи – Никитиничи
relation,15458678,Віцебск – Смоленск,Віцебск – Смаленск,Железнодорожная линия: Витебск – Смоленск
relation,12981785,Гомель - Чернігів,Гомель — Чарнігаў,Гомель - Чернигов
way,896810476,Долина Мухавца,Муховэцка Кумора,Муховэцка Кумора
relation,8214264,Дружба,Нафтаправод Дружба,Дружба нефтепровод
relation,8203889,Нефтепровод «Сургут – Полоцк» / Нафтаправод «Сургут – Полацк»,Нафтаправод «Сургут – Полацк»,Нефтепровод «Сургут – Полоцк»
relation,16925994,Падʼезд да вёскі Аляксандраўка ад аўтамабільнай дарогі Р-37 Міхалкі – Нароўля – мяжа Украіны (Аляксандраўка),Падʼезд да вёскі Медзвядзёва ад аўтамабільнай дарогі Р-38 Буда-Кашалёва (ад аўтамабільнай дарогі М-5/Е 271) – Чачэрск – Краснаполле,Подъезд к деревне Медведево от автомобильной дороги Р-38 Буда-Кошелево (от автомобильной дороги М-5/Е 271) – Чечерск – Краснополье
relation,16898233,Скоростной электропоезд 717М «Ласточка»: Москва-Белорусская → Минск / Хуткасны электрацягнік 717М «Ластаўка»: Масква → Мінск,Хуткасны электрацягнік 717М «Ластаўка»: Масква → Мінск,Скоростной электропоезд 717М «Ласточка»: Москва-Белорусская → Минск
relation,1757314,Скоростной электропоезд 718Б «Ласточка»: Минск → Москва-Белорусская / Хуткасны электрацягнік 718Б «Ластаўка»: Мінск → Масква,Хуткасны электрацягнік 718Б «Ластаўка»: Мінск → Масква,Скоростной электропоезд 718Б «Ласточка»: Минск → Москва-Белорусская
relation,18543832,Скоростной электропоезд 719Щ «Ласточка»: Москва-Белорусская → Минск / Хуткасны электрацягнік 719Щ «Ластаўка»: Масква → Мінск,Хуткасны электрацягнік 719Щ «Ластаўка»: Масква → Мінск,Скоростной электропоезд 719Щ «Ласточка»: Москва-Белорусская → Минск
relation,18543831,Скоростной электропоезд 720Б «Ласточка»: Минск → Москва-Белорусская / Хуткасны электрацягнік 720Б «Ластаўка»: Мінск → Масква,Хуткасны электрацягнік 720Б «Ластаўка»: Мінск → Масква,Скоростной электропоезд 720Б «Ласточка»: Минск → Москва-Белорусская
relation,16898232,Скоростной электропоезд 721М «Ласточка»: Москва-Белорусская → Минск / Хуткасны электрацягнік 721М «Ластаўка»: Масква → Мінск,Хуткасны электрацягнік 721М «Ластаўка»: Масква → Мінск,Скоростной электропоезд 721М «Ласточка»: Москва-Белорусская → Минск
relation,15540610,Скоростной электропоезд 722Б «Ласточка»: Минск → Москва-Белорусская / Хуткасны электрацягнік 722Б «Ластаўка»: Мінск → Масква,Хуткасны электрацягнік 722Б «Ластаўка»: Мінск → Масква,Скоростной электропоезд 722Б «Ласточка»: Минск → Москва-Белорусская
relation,9348134,Тралейбус №23 - Чэрвеньскі рынак - ДС Лермантава,Тралейбус №23 - Чэрвеньскі рынак -ДС Лермантава,Троллейбус №23 - Червенский рынок -ДС Лермонтова
relation,7545329,Тралейбус №34 -ДС Ангарская-4 - Зялёны Луг-3,Тралейбус №34 - ДС Ангарская-4 - Зялёны Луг-3,Троллейбус №34 - ДС Ангарская-4 - Зелёный Луг-3
relation,3145530,Тралейбус №3: Вуліца Народнага Адзінства - Яловікі,Тралейбус №3:Вуліца Народнага Адзінства - Яловікі,Троллейбус №3: Улица Народного Единства - Еловики
relation,3145531,Тралейбус №3: Вуліца Народнага Адзінства - Яловікі,Тралейбус №3:Вуліца Народнага Адзінства - Яловікі,Троллейбус №3: Улица Народного Единства - Еловики
relation,12981784,Чернігів - Овруч,Чарнігаў – Оўруч,Чернигов - Овруч
relation,13366053,Шляхам Тызангаўза - Szlakiem Tyzenhauza,Шляхам Тызангаўза,Шляхом Тызенгауза
