osm_type,osm_id,name,name:be,name:ru
way,1417028593,Дзягильня,,Дзягильня
way,1417028595,Дзягильня,,Дзягильня
way,1417028598,Дзягильня,,Дзягильня
way,785337141,Дрочиловка,,Дрочиловка
way,1419571357,Дрочиловка,,Дрочиловка
way,1419572726,Дрочиловка,,Дрочиловка
way,1419572729,Дрочиловка,,Дрочиловка
way,1267792830,Жабка,,Жабка
way,369320079,Казачий ручей,,Казачий ручей
way,591884941,Кишкурнянка,,Кишкурнянка
way,401034279,Колодец,,Колодец
way,1328603406,Операчь,,Операчь
way,1328603408,Операчь,,Операчь
way,1328603410,Операчь,,Операчь
way,772803861,Плавенка,,Плавенка
way,772804013,Плавенка,,Плавенка
way,859258169,Плавенка,,Плавенка
way,1186095082,Прутов (Крутой),,Прутов (Крутой)
way,787791354,Семковка,,Семковка
way,787791363,Семковка,,Семковка
way,787791369,Семковка,,Семковка
way,787791372,Семковка,,Семковка
way,787791374,Семковка,,Семковка
