osm_type,osm_id,name,name:be,name:ru
way,1417028593,Дзягильня,,Дзягильня
way,1417028595,Дзягильня,,Дзягильня
way,1417028598,Дзягильня,,Дзягильня
way,1267792830,Жабка,,Жабка
way,369320079,Казачий ручей,,Казачий ручей
way,591884941,Кишкурнянка,,Кишкурнянка
way,401034279,Колодец,,Колодец
way,1328603406,Операчь,,Операчь
way,1328603408,Операчь,,Операчь
way,1328603410,Операчь,,Операчь
way,376966306,Перейма,,Перейма
way,772803861,Плавенка,,Плавенка
way,772804013,Плавенка,,Плавенка
way,859258169,Плавенка,,Плавенка
way,840496429,Полеважица,,Полеважица
way,979188822,Полеважица,,Полеважица
way,1186095082,Прутов (Крутой),,Прутов (Крутой)
way,907289408,Рябиновка,,Рябиновка
way,1424083819,Рябиновка,,Рябиновка
way,1424114545,Рябиновка,,Рябиновка
way,408582759,Стерфень,,Стерфень
way,895799690,Стерфень,,Стерфень
way,895799742,Стерфень,,Стерфень
way,895799743,Стерфень,,Стерфень
way,895799745,Стерфень,,Стерфень
way,1082547842,Струга,,Струга
