dep_osm_type,dep_osm_id,dependant,osm_type,osm_id,name,name:be,name:ru
relation,18116519,Баранавічы Палескія,relation,18116521,Баранавічы Палескія,,
relation,18116520,Баранавічы Палескія,relation,18116521,Баранавічы Палескія,,
relation,17307686,Самара,node,1928962535,Самара,,
relation,17307686,Самара,node,1928962535,Самара,,
relation,17307686,Самара,node,1928962535,Самара,,
relation,17307686,Самара,node,1928962535,Самара,,
relation,11687158,ул. Красноармейская,way,301612491,ул. Красноармейская,,
relation,11687158,ул. Красноармейская,way,301612491,ул. Красноармейская,,
relation,11687158,ул. Красноармейская,way,301612491,ул. Красноармейская,,
relation,11687158,ул. Красноармейская,way,301612491,ул. Красноармейская,,
