dep_osm_type,dep_osm_id,dependant,osm_type,osm_id,name,name:be,name:ru
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,19145457,Камунары,relation,21092902,Камунары,,
relation,18681328,РАПТ,node,12137117167,РАПТ,,
relation,18681328,РАПТ,node,12137117167,РАПТ,,
relation,18681328,РАПТ,node,12137117167,РАПТ,,
relation,18681328,РАПТ,node,12137117178,РАПТ,,
relation,18681328,РАПТ,node,12137117167,РАПТ,,
relation,17307686,Самара,node,1928962535,Самара,,
relation,17307686,Самара,node,1928962535,Самара,,
relation,17307686,Самара,node,1928962535,Самара,,
relation,17307686,Самара,node,1928962535,Самара,,
