osm_type,osm_id,name,name:be,name:ru
way,96639467,1 Гож,,
way,96639456,10 Гож,,
way,96639458,11 Гож,,
way,508209143,11 Чех,,
way,96639447,12 Гож,,
way,96639451,13 Гож,,
way,117702231,13а Чех,,
way,96639452,14 Гож,,
way,117703663,14 Чех,,
way,96639453,15 Гож,,
way,117703662,15 Чех,,
way,117702278,15а Чех,,
way,117702253,15б Чех,,
way,96640613,16 Гож,,
way,117702286,16 Чех,,
way,205217629,16а Гож,,
way,96640620,17 Гож,,
way,117702230,17 Чех,,
way,96640615,17а Гож,,
way,96640609,18 Гож,,
way,102693081,18а Гож,,
way,96640611,19а Гож,,
way,96640608,19б Гож,,
way,96639468,1а Гож,,
way,117702254,1а Чех,,
way,133202174,1б Гож,,
way,96639460,1в Гож,,
way,96639461,2 Гож,,
way,97527945,20 Гож,,
way,97527941,20а Гож,,
way,106402509,21 Гож,,
way,97527950,21а Гож,,
way,97527954,22 Гож,,
way,97527968,23а Гож,,
way,97527970,24 Гож,,
way,97527971,24а Гож,,
way,97527972,25 Гож,,
way,97527897,26а Гож,,
way,97527918,27 Гож,,
way,97527898,28 Гож,,
way,97527899,29 Гож,,
way,96639462,2а Гож,,
way,96639463,3 Гож,,
way,97527900,31 Гож,,
way,96639464,5 Гож,,
way,117696195,5 Чех,,
way,548381625,5а Чех,,
way,90122558,6 Гож,,
way,102693078,7а Гож,,
way,106403655,8 Гож,,
way,96639455,9а Гож,,
way,117697647,9а Чех,,
way,242860179,IQ гараж,,
way,385400704,LIGRANO ФПМИ,,
way,25393874,«Fenox» Производственный цех №5,,
way,324482000,«Мастерок»,,
way,460317800,А1,,
way,261392717,АБЖ,,
way,461423575,Автосервис,,
way,320880497,Брестагропромтехсервис,,
way,106300538,В.B.Wood,,
way,449276779,Гомельский вагонный участок,,
way,25393859,ЗАО «Техношанс»,,
way,700707053,Зумлион,,
way,1230125952,КНС,,
way,1257185856,КНС,,
way,1258797744,КНС,,
way,1276548449,КНС (стар.),,
way,642180876,Котельная,,
way,1126724316,Котельная,,
way,204213081,"Котельная ""Сидикат"" (стар.)",,
way,401594549,МН,,
way,478302417,МСЦ,,
way,205339473,"НПК «Наука», ООО «Промлит», «Fazon»",,
way,323042129,Отделение по ремонту электрооборудования,,
way,25389639,Печатный цех,,
way,72427269,Пинский районный узел электросвязи,,
way,1261829232,Проходная,,
way,700036079,РекомБел,,
way,658481976,Рухтех,,
way,336972734,Склад,,
way,1273265095,ТП-23 ЭЧ-3 Бел ЖД,,
way,502009208,ТП-272,,
way,1210327565,ТП-292,,
way,1276362015,ТП-503,,
way,56730771,ТП-506,,
way,421215118,Траннсформаторная подстанция,,
way,1276362016,ЦТП-2,,
way,1276363719,ЦТП-3,,
way,204633739,Цех СМП,,
way,90836408,Швейная фабрика БТК групп,,
way,1277914485,Шинный Центр,,
way,1254890174,тп,,
way,1254890175,тп,,
