osm_type,osm_id,name,name:be,name:ru
node,9533446696,ADEL-Эканом №53,Адэль-Эканом №53,Адель-Эконом №53
node,4378824416,«Аптека № 3 Плесид»,Аптэка № 3 Плесід,Аптека № 3 Плесид
node,8374794756,Альфа Аптека №3,Доктар А №3,Доктор А №3
node,8374794757,Альфа Аптека №8,Доктар А №8,Доктор А №8
node,8374794758,Альфа Аптека №9,Доктар А №9,Доктор А №9
node,8556352619,Альфа аптека №12,Доктар А №12,Доктор А №12
node,3034172333,Альфа аптека №14,Доктар А №4,Доктор А №4
node,1427165572,"Аптека "" Юнифарм ""","Аптэка ""Юніфарм""","Аптека ""Юнифарм """
node,4701778856,Аптека ADEL N10,Аптэка АДЭЛЬ N10,Аптека АДЕЛЬ N10
node,4459510194,Аптека ADEL №45,Аптэка АДЭЛЬ №45,Аптека АДЕЛЬ №45
node,6044243286,Аптека №10 Лигматон,Лігматон №10,Лигматон №10
node,7120197022,Аптека №13 Лигматон,Аптэка,Аптека
node,1599548613,Аптека №4 Лигматон,Лігматон № 4,Лигматон
node,3087825704,Аптека №8 Medvax,Аптэка №8 Медвакс,Аптека №8 Медвакс
node,4666241395,Аптека №8 Лигматон,Аптэка №8,Аптека №8
node,6109613786,Доктор А №10,Доктар А,Доктор А
node,9889986745,Зеленый лист,Зялёны ліст,Зелёный лист
node,9889986746,Зеленый лист,Зялёны ліст,Зелёный лист
node,9889986747,Зеленый лист,Зялёны ліст,Зелёный лист
node,9889986748,Зеленый лист,Зялёны ліст,Зелёный лист
node,9889986749,Зеленый лист,Зялёны ліст,Зелёный лист
node,2712556013,Любимая аптека,"""Любімая аптэка""","""Любимая аптека"""
way,203434277,Могилёвское РУП «Фармация» Кричевская ЦМА № 9,Магілёўскае РУП «Фармацыя» Крычаўская ЦМА № 9,Могилёвское РУП «Фармация» Кричевская ЦРА # 9
node,4426898499,Планета Здоровья №20,Планета Здароўя №20,Планета здоровья №20
node,2154238063,Планета Здоровья №9,Планета Здароўя №9,Планета здоровья №9
node,5589739923,Центральная районая аптека №65,Цэнтральная раённая аптэка №65,Центральная районная аптека №65
