osm_type,osm_id,name,name:be,name:ru
way,230628676,1-й переулок Тельмана,,1-й переулок Тельмана
way,230628676,1-й переулок Тельмана,,1-й переулок Тельмана
way,834763815,Закозельская улица,,Закозельская улица
way,834763815,Закозельская улица,,Закозельская улица
way,143561667,МКАД — Городище — Старое Село,,МКАД — Городище — Старое Село
way,143561667,МКАД — Городище — Старое Село,,МКАД — Городище — Старое Село
way,154328239,МКАД — Городище — Старое Село,,МКАД — Городище — Старое Село
way,154328239,МКАД — Городище — Старое Село,,МКАД — Городище — Старое Село
way,489747491,"Н6255 (ПУП ""Петюлевцы"")",,"Н6255 (ПУП ""Петюлевцы"")"
way,489747491,"Н6255 (ПУП ""Петюлевцы"")",,"Н6255 (ПУП ""Петюлевцы"")"
way,370774931,"Р17 (пункт пропуска ""Олтуш"")",,"Р17 (пункт пропуска ""Олтуш"")"
way,370774931,"Р17 (пункт пропуска ""Олтуш"")",,"Р17 (пункт пропуска ""Олтуш"")"
way,468063650,"Р17 (пункт пропуска ""Олтуш"")",,"Р17 (пункт пропуска ""Олтуш"")"
way,468063650,"Р17 (пункт пропуска ""Олтуш"")",,"Р17 (пункт пропуска ""Олтуш"")"
way,468063654,"Р17 (пункт пропуска ""Олтуш"")",,"Р17 (пункт пропуска ""Олтуш"")"
way,468063654,"Р17 (пункт пропуска ""Олтуш"")",,"Р17 (пункт пропуска ""Олтуш"")"
way,641862655,"Р17 (пункт пропуска ""Олтуш"")",,"Р17 (пункт пропуска ""Олтуш"")"
way,641862655,"Р17 (пункт пропуска ""Олтуш"")",,"Р17 (пункт пропуска ""Олтуш"")"
way,686049252,"Р17 (пункт пропуска ""Олтуш"")",,"Р17 (пункт пропуска ""Олтуш"")"
way,686049252,"Р17 (пункт пропуска ""Олтуш"")",,"Р17 (пункт пропуска ""Олтуш"")"
way,686049253,"Р17 (пункт пропуска ""Олтуш"")",,"Р17 (пункт пропуска ""Олтуш"")"
way,686049253,"Р17 (пункт пропуска ""Олтуш"")",,"Р17 (пункт пропуска ""Олтуш"")"
way,686049254,"Р17 (пункт пропуска ""Олтуш"")",,"Р17 (пункт пропуска ""Олтуш"")"
way,686049254,"Р17 (пункт пропуска ""Олтуш"")",,"Р17 (пункт пропуска ""Олтуш"")"
way,686049255,"Р17 (пункт пропуска ""Олтуш"")",,"Р17 (пункт пропуска ""Олтуш"")"
way,686049255,"Р17 (пункт пропуска ""Олтуш"")",,"Р17 (пункт пропуска ""Олтуш"")"
way,493855392,"Р41 (ПУП ""Поречье"")",,"Р41 (ПУП ""Поречье"")"
way,493855392,"Р41 (ПУП ""Поречье"")",,"Р41 (ПУП ""Поречье"")"
way,493855393,"Р41 (ПУП ""Поречье"")",,"Р41 (ПУП ""Поречье"")"
way,493855393,"Р41 (ПУП ""Поречье"")",,"Р41 (ПУП ""Поречье"")"
way,526168712,"Р41 (ПУП ""Поречье"")",,"Р41 (ПУП ""Поречье"")"
way,526168712,"Р41 (ПУП ""Поречье"")",,"Р41 (ПУП ""Поречье"")"
way,526197510,"Р41 (ПУП ""Поречье"")",,"Р41 (ПУП ""Поречье"")"
way,526197510,"Р41 (ПУП ""Поречье"")",,"Р41 (ПУП ""Поречье"")"
way,379694145,улица Анисимова И.Е.,,улица Анисимова И.Е.
way,379694145,улица Анисимова И.Е.,,улица Анисимова И.Е.
way,424247217,улица Волынка,,улица Волынка
way,424247217,улица Волынка,,улица Волынка
way,975625208,улица Каштановая,,улица Каштановая
way,975625208,улица Каштановая,,улица Каштановая
way,331773325,улица Лапина,,улица Лапина
way,331773325,улица Лапина,,улица Лапина
way,1068263692,улица Ляховецкая,,улица Ляховецкая
way,1068263692,улица Ляховецкая,,улица Ляховецкая
way,1068252345,улица Малоритская,,улица Малоритская
way,1068252345,улица Малоритская,,улица Малоритская
way,1068252348,улица Мокранская,,улица Мокранская
way,1068252348,улица Мокранская,,улица Мокранская
way,424247222,улица Сеткова,,улица Сеткова
way,424247222,улица Сеткова,,улица Сеткова
