dep_osm_type,dep_osm_id,dependant,osm_type,osm_id,name,name:be,name:ru
way,490266165,"0,3 км севернее аг.Тышковичи",,,,,
node,6445569709,1-й Велосипедный переулок,,,,,
way,365562150,1-й Чугуночный переулок,,,,,
way,426368734,1-й переулок М. Богдановича,,,,,
way,309374556,1-я Муражская улица,,,,,
way,309911841,1-я Муражская улица,,,,,
node,1022324791,"10,15-й км а/д подъезд к г. Дзержинску",,,,,
node,2422442390,"10,15-й км а/д подъезд к г. Дзержинску",,,,,
way,171694321,100 км а/д Р-23,,,,,
node,1354554831,117 км дороги М8/Е95,,,,,
node,1354554832,117 км дороги М8/Е95,,,,,
way,138303596,153км М1 Брест-граница РФ (левая сторона),,,,,
node,972653656,169-й км а/д Р91 Осиповичи-Барановичи,,,,,
node,5357670721,17 km Minsk-Dzerzhinsk motor road,,,,,
way,944697923,17 Сентября,,,,,
way,944697948,17 Сентября,,,,,
way,944697951,17 Сентября,,,,,
way,158421396,18-й км Могилёвского шоссе,,,,,
node,306065821,183км дороги М8/E95,,,,,
way,284295387,2-й Профессиональный переулок,,,,,
way,284295392,2-й Профессиональный переулок,,,,,
way,284295400,2-й Профессиональный переулок,,,,,
way,284295403,2-й Профессиональный переулок,,,,,
way,284295406,2-й Профессиональный переулок,,,,,
way,284295412,2-й Профессиональный переулок,,,,,
way,284295415,2-й Профессиональный переулок,,,,,
way,284295416,2-й Профессиональный переулок,,,,,
way,284295421,2-й Профессиональный переулок,,,,,
way,284295424,2-й Профессиональный переулок,,,,,
way,284295428,2-й Профессиональный переулок,,,,,
way,284295430,2-й Профессиональный переулок,,,,,
way,284295431,2-й Профессиональный переулок,,,,,
way,284295434,2-й Профессиональный переулок,,,,,
way,284295437,2-й Профессиональный переулок,,,,,
way,284295445,2-й Профессиональный переулок,,,,,
way,205601345,2-й переулок 40 лет Октября,,,,,
way,256157490,2-й переулок 40 лет Октября,,,,,
node,3718746946,2-й переулок В.Ситрицы,,,,,
way,295049451,2-я Кооперативная улица,,,,,
way,295049452,2-я Кооперативная улица,,,,,
way,295049453,2-я Кооперативная улица,,,,,
way,295049454,2-я Кооперативная улица,,,,,
way,295049455,2-я Кооперативная улица,,,,,
way,295049456,2-я Кооперативная улица,,,,,
way,295049457,2-я Кооперативная улица,,,,,
way,295049458,2-я Кооперативная улица,,,,,
way,295049459,2-я Кооперативная улица,,,,,
way,295049460,2-я Кооперативная улица,,,,,
way,295049461,2-я Кооперативная улица,,,,,
way,295049462,2-я Кооперативная улица,,,,,
way,295049464,2-я Кооперативная улица,,,,,
way,295049467,2-я Кооперативная улица,,,,,
way,295050498,2-я Кооперативная улица,,,,,
way,295050499,2-я Кооперативная улица,,,,,
way,295050500,2-я Кооперативная улица,,,,,
way,295050501,2-я Кооперативная улица,,,,,
way,295050502,2-я Кооперативная улица,,,,,
way,295050503,2-я Кооперативная улица,,,,,
way,295050504,2-я Кооперативная улица,,,,,
node,9314786224,3 рудоуправление,,,,,
node,938332927,337 км а/д М1/Е30,,,,,
node,938333538,337 км а/д М1/Е30,,,,,
node,2495352532,36 км а/д Минск-Витебск,,,,,
node,3305610925,391 км дороги М1/E30,,,,,
way,112237564,391 км дороги М1/E30,,,,,
way,434996458,4-я улица Швейников,,,,,
node,996867996,402 км дороги М1/E30,,,,,
node,996820188,408 км дороги М1/E30,,,,,
node,306067903,435км дороги М1/E30,,,,,
node,306067967,449км дороги М1/E30,,,,,
node,764519634,449км дороги М1/E30,,,,,
way,275861436,"45 км, Р-28",,,,,
node,4155574804,47км а/д М5 Минск-Гомель,,,,,
node,9868308638,50 лет Октября,,,,,
node,306066888,514км дороги М1/E30,,,,,
node,306066896,514км дороги М1/E30,,,,,
node,1272770435,514км дороги М1/E30,,,,,
node,446083978,537км автодороги М1/E30,,,,,
node,1838560524,54км М10 (около Дрогичина),,,,,
node,306063840,59км а/д М5 Минск-Гомель,,,,,
node,4155574803,59км а/д М5 Минск-Гомель,,,,,
way,315717042,60 лет БССР,,,,,
way,1005412898,60 лет БССР,,,,,
node,306069264,72км а/д Столбцы-Кобрин,,,,,
node,4545330811,<unterschiedlich>,,,,,
node,3315226265,?км а/д М-1 (E30),,,,,
way,360349340,Cf,,,,,
way,317333784,Dachny,,,,,
way,615105558,Fabrichnaya,,,,,
node,8794925691,Internacyjanaĺnaja street,,,,,
way,795658371,Palavaja,,,,,
node,7065626472,Topolinaya,,,,,
node,3085933511,Škoĺnaja street,,,,,
way,59041878,АБК «ЮНИСОН»,,,,,
node,7011676186,АПК Ситня,,,,,
way,344028440,Аграгрная улица,,,,,
way,344028481,Аграгрная улица,,,,,
way,344028515,Аграгрная улица,,,,,
way,344028518,Аграгрная улица,,,,,
way,344028554,Аграгрная улица,,,,,
way,344028572,Аграгрная улица,,,,,
way,344028584,Аграгрная улица,,,,,
way,344028683,Аграгрная улица,,,,,
