osm_type,osm_id,name,name:be,name:ru
node,4982694776,Bobrowniki (PL) - Бераставіца (BY),,
node,5044879217,Eišiškės (LT) - Доцішкі (BY),,
way,1281077985,Азалия Понтийская,,
way,1280965003,Гідрологічний заказник «Мох»,,
way,1280965004,Гідрологічний заказник «Стропове»,,
way,1280965005,Гідрологічний заказник «Широкий лог»,,
way,1232148215,Луговой избирательный округ №25,,
node,11630370168,Столб лесничества,,
node,10875526633,Столб лесных кварталов,,
node,11634785386,Столб лесных кварталов,,
node,11634785399,Столб лесных кварталов,,
node,11634785400,Столб лесных кварталов,,
node,11634785401,Столб лесных кварталов,,
node,11634785405,Столб лесных кварталов,,
node,11700796383,Указатель лесных кварталов,,
