osm_type,osm_id,name,name:be,name:ru
relation,18078661,Биордовское лесонасаждение,,Биордовское лесонасаждение
relation,17668478,Брицкая грива,,Брицкая грива
relation,17575886,Великоритские грабы,,Великоритские грабы
relation,18063615,Гидрологический памятник природы республиканского значения «Ольховики»,,Гидрологический памятник природы республиканского значения «Ольховики»
relation,10367256,Дубовая роща,,Дубовая роща
relation,17470996,"Заказник ""Медвежий лук""",,"Заказник ""Медвежий лук"""
relation,17356632,Меловая гора,,Меловая гора
relation,16946996,"Обнажение ""Пашино""",,"Обнажение ""Пашино"""
relation,17289163,Орлянская дюна,,Орлянская дюна
relation,17575887,Парк Великорита,,Парк Великорита
relation,17710197,Пожежинская криница,,Пожежинская криница
