osm_type,osm_id,name,name:be,name:ru
node,11854236384,Берозовичский сельский исполнительный комитет,,
way,372517708,Большевистский сельский исполнительный комитет,,
node,12189543760,Загорский сельский исполнительный комитет,,
way,280622496,Зеленоборский Сельский Исполнительный Комитет,,
node,12390457101,Исполком,,
way,305973133,Красненский Сельский Исполнительный Комитет,,
node,11543829304,Мачулищанский поселковый исполнительный комитет,,
node,12002454994,Мерчицкий сельский исполнительный комитет,,
node,11510738599,Новодворский сельский исполнительный комитет,,
way,474220142,ОАО Крутогорье Петковичи,,
way,388247159,ОАО Семежево,,
node,11916262699,Оховский сельский исполнительный комитет,,
node,11805456704,Пинковический сельский исполнительный комитет,,
node,12227809654,Поречский сельский исполнительный комитет,,
node,12769697623,Речковский сельский исполнительный комитет,,
way,424125753,Рубельский сельисполком,,
way,388247160,Семежевский сельский исполнительный комитет,,
node,12642516553,Серебрянский окружной совет территориального общественного самоуправления 11,,
node,12390922062,Ставокский сельский исполнительный комитет,,
way,243076182,Столовичский сельсовет,,
node,13059097641,"ТС жилых домов 16,18,20 Колесникова",,
node,11808198741,Чёнковский сельский исполнительный комитет,,
